,Sample_27_1,Sample_28_1,Sample_29_1,Sample_30_1,Sample_31_1,Sample_33_2,Sample_34_3,Sample_37_2,Sample_38_1,Sample_40_2,Sample_27_5,Sample_28_5,Sample_29_5,Sample_30_5,Sample_31_5,Sample_33_5,Sample_34_6,Sample_37_5,Sample_38_5,Sample_40_5,Sample_27_neg,Sample_28_neg,Sample_29_neg,Sample_30_neg,Sample_31_neg,Sample_33_neg,Sample_34_neg,Sample_37_neg,Sample_38_neg,Sample_40_neg,Sample_27_pos,Sample_28_pos,Sample_29_pos,Sample_30_pos,Sample_31_pos,Sample_33_pos,Sample_34_pos,Sample_37_pos,Sample_38_pos,Sample_40_pos,Sample_27_2,Sample_28_2,Sample_29_3,Sample_30_2,Sample_31_2,Sample_33_3,Sample_34_5,Sample_37_3,Sample_38_2,Sample_40_3
ADM,-1.71007581,-0.212005385,0.539090779,1.475638972,1.708358763,0.332232861,0.723018186,-0.338209551,0.788349515,0.844603304,-1.778026566,-0.682555197,-0.866582035,0.556711462,0.352744925,-0.761507333,-0.689738189,0.139583798,0.140218758,-0.126468082,-0.829312475,-0.299276867,-0.262069132,0.847176489,0.221393905,-0.768133683,0.56938435,-2.421430902,0.131511359,0.842191607,0.352868058,0.040847346,0.163076927,-2.421430902,-2.421430902,-0.286754373,0.223243463,0.447897498,0.222652725,0.927152227,-1.662262923,0.37758008,0.365462128,1.433808473,1.329008259,-0.785356192,1.149052737,0.414019175,0.984066801,0.679681569
AKAP12,-0.285243698,0.077317222,0.957250523,1.722368766,1.28288711,0.700653597,0.883771328,0.631906139,0.539550628,1.030775997,0.002512085,0.578179925,0.776989356,0.49367629,0.290748764,0.070045097,-0.38756091,0.673451686,-0.059174567,0.632736172,-0.40606055,-0.698531711,-0.638471414,-0.274438656,-0.765902065,-0.630969658,0.190154393,-2.23965261,-2.029769559,0.105482175,-1.791141294,-0.429619343,-1.287939108,-2.23965261,-2.23965261,-0.516551526,-1.345993655,-0.921670763,-0.919141932,0.403814513,0.159830533,0.6511083,0.890989207,1.558972881,1.134934951,0.629387589,0.836127483,0.557755588,0.684298053,0.959461887
ANXA2,-0.865219146,0.158179467,0.374465346,0.735779644,0.747226785,0.848975617,1.169738925,0.37337875,0.406084499,1.115639731,-1.094545776,0.088287642,-0.886105341,0.547658832,0.41546091,0.329216602,-0.108222638,0.024280383,0.260301262,0.803186817,-1.207868811,-0.011244232,-0.222869123,0.552596078,0.246548574,-0.256935222,0.943775846,-2.977523938,0.099409747,0.549067955,-1.114337747,0.065890097,-0.745472714,-2.977523938,-2.977523938,0.039605633,-1.451775576,0.036623546,0.257411842,0.556435729,-1.051751001,0.688233543,0.412479003,0.895672691,0.844538471,0.209835291,1.081861476,0.471112891,0.656224406,0.94373511
BNIP3L,0.552382882,0.329011214,0.513543565,0.869752137,0.623603426,0.701557303,0.718247298,0.236691069,0.572299758,0.725174354,0.329787195,-0.064395917,0.394066713,0.359137384,0.197140233,0.321691066,0.400296622,0.410805615,0.391964243,0.199900266,0.324172082,-0.930558907,-2.885886947,0.107472691,-0.380658702,-0.632467971,0.189094543,-3.868183704,-0.721857922,0.228163694,-0.824615876,-0.529573923,-0.286260662,0.22622281,-3.868183704,0.065238802,0.361469457,-0.37289868,-0.033388812,0.414882188,0.496336719,0.362780994,0.47811571,0.678878641,0.46590453,0.343581853,0.33141956,0.466752492,0.617594761,0.393797861
CA12,-0.582840024,0.163102049,0.417094677,1.608622838,1.213650304,0.69168727,1.952569516,0.388086737,0.53049379,1.058588293,-0.442016796,-0.540159024,-0.596657152,1.223265378,0.02443314,-0.02313392,-0.598198226,0.401834085,0.249233651,-0.159402022,-1.080216512,-0.43196565,-1.755760774,0.388961205,-0.738199747,-0.853011552,1.167000763,-1.755760774,-1.01863886,-0.527781435,-0.399701569,-0.740038251,-1.729105614,-1.755760774,-1.755760774,-0.462038178,1.611235279,-0.154035381,-1.307211832,-0.665211765,-0.576935242,0.632062186,0.463067053,1.536140596,1.069747781,-0.027066471,1.725160664,0.431382142,0.989279604,0.739909318
ERO1A,0.164701645,-0.058288538,-0.014011841,1.151771983,1.047531621,0.882991072,1.51357596,0.650189511,0.45857184,1.063974042,-0.102385839,-0.242376137,0.431735951,-0.199347373,0.067511815,0.03039629,0.149414085,0.598302256,0.167904589,-0.025421384,0.111430964,-2.450932891,-2.450932891,0.389276133,-0.374105537,-0.606621873,0.594820876,-2.450932891,-0.267930368,0.801980113,-0.782257841,-1.075694651,-0.919320683,-2.450932891,-2.450932891,0.190403621,-0.785413129,-0.196876535,0.332355753,0.982588959,0.248399214,0.499593074,0.103625378,1.140936296,0.887394525,0.207826516,0.925152348,0.876535759,0.586287717,0.647536277
ERRFI1,-0.283719955,-0.157088668,0.124728913,1.429046936,0.697979083,0.9968786,1.385409074,0.440637287,0.104221362,1.309731539,-0.15302276,0.040939491,0.412886302,0.537637189,0.217952007,0.085024409,0.06074194,0.463205762,-0.097117614,0.440911282,-0.031551906,-2.698172412,-2.698172412,0.435663783,-0.516427451,-0.478625599,0.32565331,1.008519507,-1.027868555,0.173914038,-1.333336506,-0.602288972,-0.517688503,0.449244446,-2.698172412,-0.102453481,-2.698172412,-0.074968366,-0.362628759,0.200113032,-0.338072725,0.083850801,0.14745284,1.460089005,0.472616056,0.358176961,1.216687785,0.314692612,0.265135395,1.209808722
ETS1,0.170271408,0.288513827,0.720156737,0.179139298,0.559039657,0.444852216,0.444119186,0.611797815,0.864414578,0.759972323,-0.021709156,-0.137753497,-0.182545018,0.06506618,0.357980111,0.045420924,-0.164559285,0.173671476,0.654219,0.813709332,0.468315044,-0.295696361,-2.661047319,0.009404953,0.315354607,-0.689865348,-0.013419454,0.875651475,0.206883488,1.280138148,-2.521159408,-0.553998216,-1.076452876,-2.661047319,-2.661047319,-0.464298089,-2.661047319,-0.049779057,0.518706648,0.668201405,0.280089216,0.62184899,0.880335676,0.056387811,0.404036322,-0.168871685,0.72224025,0.666653262,0.758323915,1.099381444
FAM162A,0.484525015,0.162036871,1.17945949,0.656711285,0.783871954,0.429313901,0.608792383,0.152825145,0.35786182,0.562476566,0.326621321,0.307778627,0.461712646,0.018157092,0.200964574,0.026941544,0.009446292,0.306807148,0.268632302,0.15841174,0.24134254,0.530962299,-2.857604568,0.296407773,0.233579197,-0.196673215,0.203881174,-2.857604568,0.102028608,0.285753525,-0.538352402,0.305417639,0.195396583,-2.857604568,-2.857604568,-0.060228435,-2.857604568,0.065044633,0.024239708,0.253717413,0.43043051,0.442574941,0.835854939,0.514303062,0.600642687,0.156292599,0.5592008,0.380719043,0.522020509,0.440118993
GBE1,0.063785851,0.123150576,0.726073435,0.967084874,0.812866693,0.893050521,1.507250933,0.241528616,0.717004032,0.829900273,-0.130967712,-0.393905327,-0.260408906,0.169631578,0.161032945,-0.037582215,-0.188467371,0.228271662,0.388672146,0.116507982,-0.079677365,-1.401844103,-2.705734224,0.235400449,-0.126264564,-0.610049606,0.388175763,-0.58129119,-0.938943885,0.37559738,-2.705734224,-0.53422434,-0.835997237,1.559697198,-2.705734224,-0.153444619,-2.705734224,-0.352162047,0.135367542,0.626811891,0.04766359,0.506378219,0.687332314,0.933957925,0.676379882,0.118086168,1.052847946,0.65667347,0.90914096,0.592844568
