,Sample_27_1,Sample_28_1,Sample_29_1,Sample_30_1,Sample_31_1,Sample_33_2,Sample_34_3,Sample_37_2,Sample_38_1,Sample_40_2,Sample_27_5,Sample_28_5,Sample_29_5,Sample_30_5,Sample_31_5,Sample_33_5,Sample_34_6,Sample_37_5,Sample_38_5,Sample_40_5,Sample_27_neg,Sample_28_neg,Sample_29_neg,Sample_30_neg,Sample_31_neg,Sample_33_neg,Sample_34_neg,Sample_37_neg,Sample_38_neg,Sample_40_neg,Sample_27_pos,Sample_28_pos,Sample_29_pos,Sample_30_pos,Sample_31_pos,Sample_33_pos,Sample_34_pos,Sample_37_pos,Sample_38_pos,Sample_40_pos,Sample_27_2,Sample_28_2,Sample_29_3,Sample_30_2,Sample_31_2,Sample_33_3,Sample_34_5,Sample_37_3,Sample_38_2,Sample_40_3
ATF3,-0.412200234,-0.799174233,-0.08454044,0.384348852,0.543198169,0.198934702,0.095932249,-0.42219614,0.240590754,0.481178674,-1.495762953,-1.006759439,-1.342981286,0.119020395,-0.777345317,-0.693219215,-0.459762505,0.171241159,-0.580083665,-0.058901636,0.895003348,-0.549107675,-0.238624686,1.437428192,-0.045703744,0.311523967,1.44821069,-3.192425967,0.479389751,1.20528891,0.60907596,0.175304635,1.166857924,-3.192425967,0.256497051,1.438893559,-1.391426518,1.307573215,1.23129135,1.597287707,0.083515463,-0.408947742,-0.367754092,0.303046379,0.377559858,-0.450289337,0.513186134,0.499143526,0.360204855,0.038905363
CCL2,-0.610390095,-0.828579999,-0.981017433,-0.456336884,0.488477654,-0.248279065,1.11855498,0.379085002,0.050083704,-0.363589444,-0.848796544,-0.795810743,-1.774710875,-0.464987504,-0.883267427,-0.017601585,-0.976977434,-0.193519352,-0.189906085,-0.614152367,0.403082289,-2.246281321,0.309723504,0.850408699,-0.384415591,0.628198506,1.204124861,0.710206361,0.49333588,-0.760229377,0.695998972,-0.066949941,2.283636111,1.46987745,-3.404353146,1.441835711,0.420397109,1.134120758,0.841795253,-0.562481653,0.585349266,0.165042773,-0.325962305,-0.013790446,0.424493365,-0.15551475,1.19605118,1.026337441,0.787740143,-0.940055609
CCL20,-1.252752681,-0.771873007,-1.091562817,-0.565600315,-0.310062231,-0.569096426,1.164110436,0.579217817,-0.366335796,-0.162368065,-1.036661016,-0.937556536,-1.41201093,-0.737476814,-1.308610595,-0.967790143,-1.206159435,-0.073976306,-0.515037085,-0.898323212,0.831351311,0.117498612,-1.41201093,1.743669711,0.115255863,-0.001248614,1.35548405,-1.41201093,0.986462797,1.5333975,0.896209662,0.893568813,0.760241813,1.733228695,-1.41201093,1.10517788,0.620046958,1.875063031,1.149743604,1.547041735,-0.742984333,0.14050621,-1.021900065,0.062870235,-0.098784148,-0.892461594,0.706624398,0.99267156,0.638678899,-0.371456637
CCL4,-1.140888642,-1.00729318,-1.180934905,-0.917309027,-1.292528269,-0.714760096,-0.834337732,-0.453175682,-0.663121389,-0.908472384,-0.921761973,-0.550491522,-1.262890986,-0.853570725,-1.09668334,-0.427260424,-0.094567125,0.191203664,-0.412593254,-0.433359637,1.180626066,0.918778003,1.102924743,1.212863283,0.65899078,1.079582356,1.09689083,1.002638577,1.175006271,0.789720757,1.722819507,1.106919324,1.733212318,1.186871144,0.433054356,1.350291504,1.259059317,1.520690872,1.223086966,0.87911227,-0.56759244,-0.989770194,-1.153040602,-0.667439241,-1.166847399,-0.736065175,-0.74474776,0.221542198,-0.856410269,-0.997971735
CCRL2,-1.070146219,-0.621418969,-0.832364721,-0.405861077,-1.047223526,-0.167396547,0.309299649,0.140298607,-0.097742653,-0.255056662,-0.698345898,-0.627923895,-1.165070765,-0.595901654,-0.52749638,-0.205615688,0.216461572,-0.134633195,0.099246735,-0.121353199,0.755793469,0.719047125,-1.961652483,1.780286899,0.779649536,-0.477014502,1.233755836,-1.961652483,1.077278624,1.169478775,2.334489013,0.287256468,1.555862655,-1.961652483,-1.961652483,1.325393517,0.309141066,1.480942398,1.559581715,1.399148556,-0.767649758,-0.395333938,-0.281292723,0.104482029,-0.094763983,-0.444510361,0.340284331,0.338946769,-0.222875935,-0.212523162
CD83,-1.385076578,-0.973959555,-0.666882141,-0.659421824,-0.544385701,-0.472773042,-0.419256336,-0.514658627,-0.381326563,-0.82795236,-1.144884107,-0.387405573,-0.171104681,-0.860391164,-0.688149295,-0.615413158,-0.3024695,0.120633868,-0.292871954,-0.397433507,1.520680122,0.058031106,0.078255619,1.416266887,0.422770861,0.397844281,1.57096431,-2.672965305,0.771827874,0.986255853,1.74375952,0.753769726,1.58369941,1.309923912,-0.523057837,1.702919455,1.333436439,1.731959922,1.601457089,1.293804977,-1.121178246,-0.552061712,-0.649966838,-0.648746857,-0.592145434,-0.549913348,-0.505658488,0.264952099,-0.320756143,-0.820947453
CDKN1A,-1.161136962,-0.092275559,-0.463107557,0.240345984,0.567954203,-0.537435463,-0.173310473,0.164279784,-0.208813426,0.205315467,-0.743420015,-0.794019806,-1.516278311,0.424806739,0.244433584,0.260959906,0.011044425,0.3093114,-0.290247983,0.346607413,0.451542155,-1.764881353,0.702243529,1.296585839,0.749614223,-0.250217473,0.961268946,-1.680641306,0.033306532,0.705068257,0.959381446,-0.142397931,1.165234277,-0.367299112,-4.817738416,1.30562721,-0.665682716,1.301497719,0.983373999,0.844881954,0.255842548,0.041180051,-0.193674611,0.382443277,-0.125599288,0.178569434,0.322851291,0.683992871,-0.298983288,0.187596588
CXCL2,-1.500481393,-0.124219978,-0.795289276,0.012415131,0.159553371,-1.483886297,0.67090185,0.155495548,-0.049303767,-0.67093439,-1.017226226,-0.26327418,-1.043609103,0.073165528,-1.194510159,-0.229377622,-0.680911602,-0.193845614,-0.504820206,-0.817986712,0.555222058,-0.055836107,1.242069062,1.225554664,-0.377181511,0.05676325,1.606666839,-2.219277112,0.014420973,1.448626234,1.335935157,0.8325804,0.961176764,1.491229739,-2.219277112,1.790885409,0.526729755,1.360469652,0.500742338,1.571800393,-1.700631208,-0.209582415,-0.596479553,-0.197849899,-0.3850008,-0.412890237,0.687857742,0.707422095,0.845261241,-0.889262713
CXCL3,-0.653759726,-0.702611411,-0.780624472,0.833533173,1.101499718,-0.542704822,1.034774807,0.146296417,-0.14909936,-0.806053098,-0.725716187,-0.93928857,-1.346133466,-0.270325843,-0.858046051,-0.688778685,-1.152270853,-0.72352459,-0.661206478,-1.261621574,0.536504373,-1.590955047,0.09915445,1.296526271,-0.500468603,0.076909426,1.544363413,-1.590955047,0.010916367,1.606053202,1.066147111,0.584122922,0.934263746,2.280281943,-1.590955047,1.680564169,1.055356756,1.279283364,0.153527225,1.683237673,-0.804775867,-0.523441908,-0.59840199,0.341587167,0.070895404,-0.82706775,0.781169921,0.476312833,0.628288838,-1.012784248
DUSP1,-1.562989502,-1.423513751,-1.086958021,-0.364942472,-0.789322928,-1.262120224,0.089914441,0.08161325,-0.697247884,-0.639789913,-1.43009028,-0.268404268,-1.054380572,0.939230829,-0.927854218,-1.20058673,-0.047686595,0.482736026,-0.988522599,-0.136965146,1.166712396,0.284548373,0.554747212,1.475892621,0.794323596,0.294599008,1.347659371,0.59174593,0.85099757,1.384317041,0.861219205,0.842673756,1.127847027,-0.59349153,-0.955852367,1.596594806,0.970050514,1.639562962,1.596516183,1.678458504,-1.598572267,-0.932988687,-1.026512505,-0.096932963,-0.794202475,-1.052762812,0.664412413,0.573320199,-0.446029594,-0.510972929
