,Sample_27_1,Sample_28_1,Sample_29_1,Sample_30_1,Sample_31_1,Sample_33_2,Sample_34_3,Sample_37_2,Sample_38_1,Sample_40_2,Sample_27_5,Sample_28_5,Sample_29_5,Sample_30_5,Sample_31_5,Sample_33_5,Sample_34_6,Sample_37_5,Sample_38_5,Sample_40_5,Sample_27_neg,Sample_28_neg,Sample_29_neg,Sample_30_neg,Sample_31_neg,Sample_33_neg,Sample_34_neg,Sample_37_neg,Sample_38_neg,Sample_40_neg,Sample_27_pos,Sample_28_pos,Sample_29_pos,Sample_30_pos,Sample_31_pos,Sample_33_pos,Sample_34_pos,Sample_37_pos,Sample_38_pos,Sample_40_pos,Sample_27_2,Sample_28_2,Sample_29_3,Sample_30_2,Sample_31_2,Sample_33_3,Sample_34_5,Sample_37_3,Sample_38_2,Sample_40_3
ABCD2,-0.669331705,-0.162959361,0.080782189,1.513771746,0.403711503,0.553059215,-0.518426905,2.007994261,0.748215153,0.348489925,-0.182062586,1.063495294,2.144783173,2.053969335,1.080102967,0.248674785,0.193386927,1.504663607,0.895767088,0.598756763,-0.947250852,0.11669948,-1.443641073,0.122748331,-0.352971884,-1.294964569,-0.93015238,-1.443641073,-1.356572371,0.209258571,-1.443641073,-1.225708357,-1.164617972,-1.443641073,-1.443641073,-0.84530307,-1.443641073,-0.476847024,-0.24767785,-0.376120089,-0.771188775,0.375915561,0.578496048,0.773958548,0.223194926,1.26188235,-0.349529534,0.495076558,0.464557503,0.472119914
ACSL3,-0.073694502,0.195706854,-0.299517762,0.782540855,0.483420485,0.664189178,0.356204348,0.747587665,0.379046498,0.570520433,0.065645911,0.362467781,1.075155729,1.429816846,1.082195025,0.422979277,0.33911421,0.7446615,0.269895563,0.671871341,0.154667195,-1.031826376,-3.156805204,0.326708078,0.336672007,-1.054068068,0.136982578,0.530330448,-1.362248392,0.380131099,-0.417199093,-1.090714626,-0.307420436,-3.156805204,-3.156805204,0.07624091,-1.544300915,-0.103645153,-0.08488753,0.520263756,0.063330057,0.282676227,0.153067304,0.438163675,0.338630393,0.641840925,0.499226179,0.375471396,0.21585619,0.726660551
ADGRG1,0.535506279,0.416602556,0.043832822,0.469297083,0.582582674,0.354897272,-0.603393359,0.586330513,0.603990517,0.46663691,0.483632065,0.606839937,-0.098724485,0.742089728,0.990219037,0.348131683,-0.04688983,0.362847084,0.732388333,0.563746333,0.398448669,-0.80368068,-0.713425087,-0.447204043,0.412257413,-0.599439434,-0.185163346,-4.271886703,-0.326801077,0.057249639,-0.937058343,-0.751200134,-0.236853028,-0.17017339,-4.271886703,0.07973078,-0.620819675,0.076162319,0.686593069,0.278040378,0.62310912,0.485441559,0.415374143,0.190039214,0.366745503,0.383372355,0.001539093,0.486584566,0.547123324,0.707217346
ANXA5,-0.354372718,0.139218243,0.1884468,0.893457257,0.807039743,0.584881344,0.367848837,0.239254565,0.410990986,0.618485262,-0.167290774,0.219876155,-0.597519883,0.940348677,0.623592744,0.318759509,0.046413786,0.184941954,0.382328676,0.468108222,-0.136441967,-0.344706912,-1.528748601,0.582468294,0.449524215,-0.531308443,0.336384128,-2.194818782,-0.259371277,0.323352466,-0.393338569,-0.286725711,-0.074350347,-2.764513585,-5.003062401,0.436661384,0.328790042,0.323913652,0.271073529,0.405182525,-0.351209539,0.336595205,0.301742574,0.62881335,0.596786692,0.287272634,0.416338046,0.527681054,0.468854763,0.53235219
ARAP2,-0.681852259,0.754406626,-0.668271696,0.679705307,0.714708499,0.741363347,-0.355732674,1.005384986,0.496592161,0.302196153,0.573580118,0.372820211,0.885939746,0.635116173,0.518510776,1.086484432,1.296668847,0.922296125,0.515073534,0.572569696,0.239274606,-0.322874476,1.097125039,-0.470501299,-0.852531214,-0.923514025,0.56762906,-2.715008324,-0.8050404,-0.018880138,-1.360245472,-0.591390508,0.014964343,-2.715008324,-2.715008324,0.142624616,-2.715008324,0.042835933,0.021706521,0.121414853,0.057723566,0.148043959,0.15979417,0.459622162,0.33748759,1.03471638,0.057062561,0.953130169,0.186850914,0.195444281
ARAP3,-0.51437477,0.093607843,0.614225403,0.785011312,0.899526072,0.963409754,0.404858151,0.384576861,0.426554848,1.180482215,-0.471575974,-0.079129474,-0.140855997,1.173568686,1.199695545,0.199898595,-0.234290161,0.374536923,0.512462382,1.170004732,-0.512849799,-0.729597996,-0.77230655,0.14862569,0.543372777,-0.85721731,0.075156891,-2.539643739,-0.12372553,0.735646889,-1.612727113,-0.32852875,-1.386217399,-2.539643739,-2.539643739,-0.370965811,-2.539643739,0.255689306,0.540017288,0.650121389,-0.581374653,0.098237614,0.788104904,0.533979272,0.616461887,0.449541307,0.824913638,0.454085103,0.378716196,1.399222771
ARNTL,0.297682949,0.234403625,-0.18634951,1.095759839,0.700462758,0.813491321,0.478450914,0.83488918,0.683858777,0.211724861,0.561828174,0.456822312,0.863116847,1.084876518,0.890500486,0.253939973,0.240611843,0.893447322,0.620223776,0.262443922,0.143094406,-2.338579086,-2.338579086,0.314884129,0.254000932,-1.59881118,0.125368678,-2.338579086,-0.798410289,0.314749963,-0.866534739,-0.21462247,-0.573143698,-2.338579086,-2.338579086,0.144710778,-2.338579086,0.180891221,0.435987765,0.274586066,0.235012712,0.348569205,0.194479114,0.78791866,0.584586847,0.66924897,0.477790374,0.605706053,0.666798789,0.032426344
BLM,-0.856196956,0.587401337,0.563760297,0.992820607,0.930851462,1.200475522,0.43229687,0.561261993,0.410049403,1.223187084,-0.724782731,-0.11119519,-0.376174687,1.582157719,1.426166644,0.263556222,-0.127784269,0.540570557,0.553750523,1.134970139,-0.837992438,-1.799614311,-1.799614311,0.113580772,0.459110425,-0.442853477,0.245420468,-1.799614311,-1.243422384,0.857997541,-1.799614311,-0.551358204,-1.215168067,-1.799614311,-1.799614311,-0.449263582,-1.799614311,-0.575559511,-0.135382969,0.796160622,-0.849767693,0.669050013,0.377727204,0.536861694,0.757425439,0.601197997,0.951338751,0.555235278,0.365587561,1.404232188
BTBD2,0.488938222,0.38495521,0.526725115,0.503804718,0.813947239,0.198858588,-0.099017425,0.321254358,0.432620216,0.34387512,0.564802722,0.721561018,0.620541925,0.638180179,1.002613314,0.197641915,0.169277417,0.458988872,0.430462623,0.414894399,0.520597901,-0.090505693,-1.034819709,-0.314135694,0.370912741,-0.262208745,-0.168906596,-3.586743464,-0.322583221,0.127042295,-0.341162789,-0.55198969,-0.681551842,-3.586743464,-3.586743464,-0.281306155,0.580258702,-0.212489403,0.147040386,0.147905029,0.487259456,0.60548563,0.376357381,0.409741717,0.625295102,0.349483157,-0.008197473,0.233496502,0.4392135,0.475072158
CALM1,0.095223562,0.386722213,-0.135084662,0.40171875,0.136535924,0.198909568,-0.5858989,0.948878217,-0.053954352,-0.165974646,0.219184885,1.294226537,1.804822325,0.568539226,0.810164414,0.39267686,0.545268544,0.977491137,-0.076891978,0.541628252,-0.290755114,-0.502417852,-0.527183089,0.20614379,0.264383358,-0.593496576,0.070519005,-0.286356474,-0.540987882,-0.122881112,-0.992115685,-0.074153615,0.161509263,-0.232431498,-5.913236271,-0.118766892,-0.279541234,-0.221110956,-0.207138962,-0.404413526,0.157440315,0.569353356,0.504484966,0.126749759,0.255715825,1.025377095,-0.188188476,0.03377544,-0.1791685,-0.005294336
