,Sample_27_1,Sample_28_1,Sample_29_1,Sample_30_1,Sample_31_1,Sample_33_2,Sample_34_3,Sample_37_2,Sample_38_1,Sample_40_2,Sample_27_5,Sample_28_5,Sample_29_5,Sample_30_5,Sample_31_5,Sample_33_5,Sample_34_6,Sample_37_5,Sample_38_5,Sample_40_5,Sample_27_neg,Sample_28_neg,Sample_29_neg,Sample_30_neg,Sample_31_neg,Sample_33_neg,Sample_34_neg,Sample_37_neg,Sample_38_neg,Sample_40_neg,Sample_27_pos,Sample_28_pos,Sample_29_pos,Sample_30_pos,Sample_31_pos,Sample_33_pos,Sample_34_pos,Sample_37_pos,Sample_38_pos,Sample_40_pos,Sample_27_2,Sample_28_2,Sample_29_3,Sample_30_2,Sample_31_2,Sample_33_3,Sample_34_5,Sample_37_3,Sample_38_2,Sample_40_3
AGTPBP1,-0.644493714,0.676498013,0.75612592,-0.016543997,-0.545570339,0.134430964,0.273609834,0.534941739,0.263023504,0.225090371,-0.16442944,0.183597453,1.047008468,-0.238262962,-0.141913683,1.098562508,1.369367126,0.694017195,0.301522071,0.603435292,0.38343179,-0.98737432,-2.930651413,0.091197625,-0.944533601,-0.477769174,0.77247346,-2.930651413,-1.012251342,0.395496169,-1.306282803,-0.653483879,-0.070702102,2.551765393,-2.930651413,0.488990874,0.662792207,0.292860311,0.115301329,0.391560139,-0.733776891,0.473172157,0.651161649,0.048453015,-0.28803433,0.785706866,-0.018683741,0.41908355,0.13210744,0.21927612
AKR7A3,-0.189672106,1.123637833,0.863880284,0.541390576,0.857380456,-0.247259462,-0.458875926,0.516804025,0.545752064,-0.058594558,0.62636996,1.36486339,0.511982188,0.499604711,0.70753434,0.488235367,0.501220014,0.567382757,0.647240471,0.105416149,0.336227233,2.256602318,-1.911078666,-0.558412705,-0.422841294,-0.40464387,-0.471401023,-1.911078666,-1.911078666,-0.741562933,-1.911078666,0.214360545,0.143741845,-1.911078666,-1.911078666,-1.054387415,-1.911078666,1.856034226,-0.455971789,-0.738107821,0.073860113,0.784173759,0.831621969,0.532250444,0.608409845,0.428335626,-0.481265467,0.300363525,0.723406685,0.102464319
ANKRD46,0.935031518,0.532137941,0.319602782,0.287569418,0.506953521,0.497660159,-0.689229567,0.777144236,0.703422773,0.121877186,0.958388705,0.768451514,1.41810586,0.170246061,0.630749179,0.644414417,0.631444671,0.855238162,0.568454806,0.411832873,0.872286982,-1.522908352,0.259368282,0.011169445,-0.126203738,-0.631394991,-0.296097412,-2.791072558,-0.862613569,-0.169895917,-2.791072558,-0.36259403,-0.372128281,-2.791072558,0.003044918,-0.200309093,-2.791072558,-0.266338817,-0.032185778,-0.260900029,0.961115833,0.412814638,0.536233546,0.178700532,0.26562077,0.956852242,-0.651274334,0.572696147,0.564139463,0.27559556
ANXA3,-1.237420257,0.694405087,0.06634499,-0.545839893,-0.945980319,-1.281026767,0.097258548,0.963802943,-0.419437707,-0.797476168,0.367908154,1.352847762,1.467040078,-0.893557195,-0.63369907,0.458754149,0.827720691,0.838456204,-0.465281351,0.248438458,-0.108795417,0.772940287,-1.608280509,1.8433731,0.242375303,0.381992613,0.554790482,-1.608280509,0.926716261,2.326551025,0.878016587,1.459810244,0.544742144,-1.608280509,-1.608280509,-0.666777337,-1.608280509,1.523210407,0.475718181,0.820846665,-0.82361868,0.171625562,0.465875242,-0.77215989,-0.74863422,0.489444983,-0.388786948,-0.618375769,-0.875096414,-0.997640202
ANXA7,0.585560356,0.368836726,0.057198636,0.085573853,-0.011200387,0.26372023,0.418604133,0.618354131,0.335891642,0.318614918,0.682378381,0.579120316,0.731422977,0.053101604,0.093543689,0.498664682,0.650879663,0.539784118,0.386855956,0.395793561,0.548551665,-0.468571499,-3.155400706,0.413179919,0.207871689,-0.323548933,0.432997836,-3.155400706,-0.10502909,0.301784955,0.014635063,-0.186045282,0.334647091,-3.155400706,-3.155400706,0.48589713,-1.324031476,0.118750584,0.337204104,0.323411285,0.619199642,0.437558722,0.374865158,0.193471636,0.152890043,0.631552056,0.379544474,0.491927121,0.31003431,0.266155433
CAMK2G,0.506328744,0.611393321,0.261900832,0.396731737,0.129986785,-0.097187874,-0.205743842,1.295475333,0.646734007,0.053636465,0.798007075,1.412323838,1.875679512,0.478147327,0.409607152,0.401007668,0.796643076,1.340279337,0.827811867,0.540696877,0.621862898,-0.184276114,0.046086452,-0.416553802,-0.50107716,-1.079642839,-0.318772605,-2.478986491,-0.570195467,-0.026447439,-1.825038834,-0.382628595,-1.060496254,-2.478986491,-2.478986491,-0.612960721,-2.478986491,-0.278648658,-0.153441523,-0.192640609,0.582779921,0.744862011,0.871540819,0.062558264,0.111325843,1.24073699,-0.268753506,0.503698113,0.419781202,0.10282834
CASQ1,1.422620428,0.438307616,-0.115202968,0.468947648,0.164462626,0.973977002,-1.313531352,0.977172254,0.769843519,-0.122872287,1.44950753,1.224581077,1.390432541,0.05659553,0.99265388,0.180816416,-0.510997365,1.230876724,1.202157541,0.173722127,0.541250412,-0.820153245,-1.813891879,-0.259509475,-0.121208903,-1.147631411,-0.663757251,-1.813891879,-0.024575996,-0.02836766,-1.813891879,-0.292373742,-0.919847811,-1.813891879,-1.813891879,-1.398834204,-1.813891879,0.776561712,-0.668083333,-0.487853604,1.768909875,0.439513474,0.339645382,0.259776259,0.418960925,0.984860609,-0.29170128,0.708182627,0.720842461,-0.005325033
CCK,-0.838709019,0.495170629,0.364572316,-0.473259687,-0.310958332,0.120750948,-1.017250857,1.698976415,0.186153347,-0.38105298,-0.583889231,2.442829364,2.366277546,0.5607886,0.418968798,0.061413098,0.228207714,1.859458187,-0.067005264,1.0663882,-0.933528132,1.848253342,-1.017250857,0.144232715,-0.904967913,0.093828076,-0.624392485,-1.017250857,-1.017250857,-0.922487561,0.223963624,1.153856484,-0.115378953,-1.017250857,-1.017250857,-0.980914776,-1.017250857,-0.734745742,-0.866212401,-0.925904041,-0.544290062,1.59056383,1.18312845,-0.678659965,0.153846921,1.783889101,-0.945464854,-0.52050793,-0.529033115,-0.043399267
CHN1,-0.043194851,0.37747997,0.241669224,0.434689746,0.106142819,0.357927974,-0.063739565,1.417113252,0.508626039,0.29377046,0.270081832,1.717998686,2.13609351,0.491682439,0.373276405,0.21592391,0.401893833,1.493649252,0.431177432,0.942086438,0.187185008,-1.610221399,-0.017106774,0.047316045,-0.241198507,-0.641842309,-0.092005811,-2.198784928,-0.971561172,-0.053622347,-1.703099796,0.116787093,-1.444890311,-2.198784928,-2.198784928,-0.719615181,-2.198784928,-0.849001679,-0.48169191,-0.201992037,0.135498912,1.04788079,0.975452143,0.242082726,0.296040723,1.454547898,0.218304728,0.259255611,0.3164797,0.421808763
CLCA4,-1.379683339,1.538027535,-0.793167375,-0.53987695,-1.140611337,-0.863137948,-1.313054305,0.599879963,0.182213188,0.111101818,-0.357239407,0.540901571,0.349514524,-1.330839636,-0.492718462,1.785844186,1.992088528,1.079955849,0.658517338,0.978677356,0.019257496,-1.379683339,1.554408888,0.671460105,-0.700009995,0.280548422,1.39098148,-1.379683339,0.070115142,-0.501541339,-1.379683339,0.468633254,0.676505305,-1.379683339,1.333460984,1.045562263,-1.379683339,0.483572691,0.750536011,-0.026203572,-1.379683339,0.318240202,0.120902097,-0.268813846,-0.388163483,1.459666926,-1.030386584,0.81806567,-0.867559346,-1.007531831
COX5B,0.148033338,0.1982533,0.262188229,-0.066119294,0.048669373,-0.32622307,-0.354843573,0.084379905,0.041620904,0.045728478,0.161297072,0.619079903,0.407919255,0.035260292,-0.02251055,-0.007582421,-0.168061478,0.139281679,0.105196899,0.065728046,-0.14129721,1.270924225,1.243321358,0.331074874,0.299658078,1.086027895,-0.090524163,-1.709421315,0.563359754,0.006946116,0.058986905,1.29280527,1.073070711,0.921799998,-5.580608626,0.013480232,-2.255463746,0.121658109,-0.128403099,-0.285507425,0.038419462,0.224947941,0.189099396,-0.007492255,0.136875996,0.059425811,-0.194022337,-0.031492758,0.01609362,0.058960897
CPNE6,-0.926762021,0.084689907,0.504891929,-0.678471395,-0.388903813,-0.001529336,-0.953905584,1.830386938,0.594245921,-0.654915096,0.218383749,2.441992647,2.245103262,0.146482664,0.158224624,0.664019797,1.444536939,1.721479349,1.112281957,1.263506115,-0.820237725,-0.974642262,-0.974642262,-0.56499922,-0.850235837,-0.974642262,-0.900918107,-0.974642262,-0.1257214,-0.875729793,-0.767106941,0.277496734,0.128571051,-0.974642262,-0.974642262,-0.944217467,-0.974642262,-0.726554658,-0.766564893,-0.93478092,-0.598383486,1.551315132,1.269143749,-0.373040252,-0.008776022,1.875705277,-0.895113494,0.535220001,0.376965898,0.13471965
CYTH1,0.398704596,0.758048226,0.304673953,-0.547277323,-0.801705878,-0.095768771,0.624382384,0.409261497,0.281019219,-0.051068111,0.613700492,0.093067506,0.450760749,-0.996900332,-0.211968631,1.066255934,1.455553242,0.667284223,0.350229207,0.347764356,0.828522098,-1.286626117,-1.890317711,-0.121275045,-0.347398757,-0.52662038,0.940035137,-4.680544914,-0.183794635,0.578762174,-0.107312542,-0.52431767,0.469643265,-0.383321436,-1.072749324,0.923272749,-2.28499025,1.054446525,0.840963025,0.755082646,0.311261055,0.342249231,0.400447075,-0.169145296,-0.251759496,0.668818178,0.29925787,0.470999323,0.006829879,-0.176433194
DHRS9,-0.60041705,0.02496013,-1.246550453,-0.113354701,-1.287741648,-1.175205527,-0.466959778,0.223005275,-0.348896791,-0.549255108,0.585940546,-0.259330711,-0.553900864,-0.970404684,-0.416322898,-0.141158308,1.61796712,1.056454008,0.030033162,0.177146127,0.806420389,0.24615851,-1.582819493,1.535102508,2.15992099,-0.071254189,0.713715739,2.204895011,0.743730336,0.566927147,1.279073849,0.079930059,1.621222925,-1.582819493,-1.582819493,0.484547929,-1.582819493,1.911927556,1.138881978,0.479496415,-0.053917365,-0.722359275,-0.987684559,-0.491856178,-0.952869974,-0.027708715,-0.522592351,0.076365911,-0.646685848,-0.826118673
DYNC1I1,-0.36378318,0.606046585,-0.137066868,-0.874737766,-1.025410748,0.578780867,-1.153847004,0.94685078,0.775755225,-0.040285503,0.278614571,1.300805197,2.076015514,-0.422281284,-0.303773874,0.909779007,1.111360515,1.314662352,0.965819647,0.825015379,0.243605604,-2.042081818,-2.042081818,0.498815903,-0.774878369,-0.038502122,0.571489755,-2.042081818,-0.052201,-0.357568163,0.325956363,-0.046813436,0.671176193,-2.042081818,-2.042081818,0.847122714,-2.042081818,0.209029907,0.405010418,-0.351123655,-0.154360487,0.60573903,0.725744344,-0.375791675,-0.07692344,1.376532295,-0.393504314,0.476355762,0.632712662,-0.083452791
