,Sample_27_1,Sample_28_1,Sample_29_1,Sample_30_1,Sample_31_1,Sample_33_2,Sample_34_3,Sample_37_2,Sample_38_1,Sample_40_2,Sample_27_5,Sample_28_5,Sample_29_5,Sample_30_5,Sample_31_5,Sample_33_5,Sample_34_6,Sample_37_5,Sample_38_5,Sample_40_5,Sample_27_neg,Sample_28_neg,Sample_29_neg,Sample_30_neg,Sample_31_neg,Sample_33_neg,Sample_34_neg,Sample_37_neg,Sample_38_neg,Sample_40_neg,Sample_27_pos,Sample_28_pos,Sample_29_pos,Sample_30_pos,Sample_31_pos,Sample_33_pos,Sample_34_pos,Sample_37_pos,Sample_38_pos,Sample_40_pos,Sample_27_2,Sample_28_2,Sample_29_3,Sample_30_2,Sample_31_2,Sample_33_3,Sample_34_5,Sample_37_3,Sample_38_2,Sample_40_3
ABAT,0.771554507,0.550538337,0.413951775,0.712948304,0.344800127,0.493160066,-0.877189008,0.791495841,0.957395412,0.542179536,0.969213012,0.485702531,0.851558801,0.881876543,0.910946119,0.359497905,0.223948556,0.728465277,1.001813093,0.709179363,0.921448533,-0.453845823,-1.95705247,-0.291227561,-0.030188676,-0.525602459,-0.483481975,-2.503441838,-0.474850433,0.136823438,-1.836328733,-0.407503585,-0.768800981,-2.503441838,-2.503441838,-0.632870866,-2.503441838,-0.288161756,0.09636288,0.136997088,0.775129053,0.523228098,0.598576697,0.391901554,0.298309963,0.604059884,-0.183466233,0.548615755,0.796483308,0.696176553
ADGRB3,0.69834364,0.520311919,0.16110336,0.59937506,0.534868214,0.499355507,-0.811199843,1.119466723,0.300266316,0.528555902,1.074896952,0.926300646,1.660885217,0.831833469,1.017018962,0.421875222,0.746491563,1.089814076,0.256940357,0.673150259,1.078952336,-1.645299478,-2.048700919,-0.884253042,-0.337037032,-0.69386486,-0.092506046,-2.048700919,-1.86457415,0.170960167,-2.048700919,-1.424195041,-0.391830193,-0.134553719,-2.048700919,-0.338583341,-2.048700919,-0.550713918,-0.52381475,0.247225742,0.721906071,0.652044448,0.57154159,0.235325556,0.336955289,0.99798203,-0.09747669,0.343279574,0.110483149,0.90589738
ADGRL3,1.071813215,0.392700979,0.595576415,-0.083619987,0.581614194,0.95555766,-0.234784607,0.794861546,0.571942266,0.827440099,0.943050351,0.431983978,0.734096475,0.335225158,0.925462536,0.594670086,0.142781506,0.667897699,0.387889384,0.911992845,1.097999414,-1.285504203,-2.364392243,-0.777273531,-0.182733736,-0.647493547,-0.376998546,-2.364392243,-1.337284006,0.506461698,-2.364392243,-0.342073472,-0.708728883,-0.253159846,-2.364392243,-0.372781768,-2.364392243,-0.449305664,-0.44361537,0.564043378,1.084999013,0.59643723,0.458390661,-0.179715767,0.540774563,0.762005486,-0.060972132,0.39160291,0.548598564,1.140136968
AMOTL2,0.938843643,0.831148252,1.257118073,-0.301419071,-0.351056051,0.457308068,-1.13008621,0.057550961,0.733476474,0.093160324,0.830229179,0.1330045,0.237558305,-0.049878875,-0.071525891,0.994064326,1.128778877,0.388156891,0.676260619,0.523321766,1.204950647,-0.881828307,0.020335523,-0.336870021,-0.922432432,0.208110951,0.581204519,-2.837922174,-0.293560832,0.051643138,-2.837922174,-0.107489358,0.204056585,0.17064634,-2.837922174,0.331294032,-2.837922174,0.023128575,0.430724182,0.138530501,0.996237229,0.716842171,0.728012877,-0.26403373,-0.253762994,0.576092987,-0.563747615,0.216393935,0.636579525,0.364616109
ATP1A3,-0.347723011,-0.429706509,1.230161568,-0.356349885,-0.38306326,1.510702397,-0.522286407,2.070316926,-0.522286407,-0.480114493,-0.470666476,0.320627808,0.715987434,-0.522286407,-0.181083843,-0.381128105,-0.475888232,0.070320301,-0.436368502,3.140749132,-0.151215513,-0.522286407,-0.522286407,-0.522286407,-0.399768489,-0.445742489,-0.522286407,-0.522286407,-0.127988061,-0.444891952,-0.522286407,-0.522286407,-0.445647074,-0.522286407,-0.522286407,-0.437946567,-0.522286407,-0.522286407,-0.44804624,-0.376599071,-0.270984624,4.115986903,-0.052929964,-0.522286407,-0.485881915,0.242919512,-0.522286407,-0.387613706,1.579774984,1.776383523
BCL7A,1.457840658,0.665316906,0.617814343,0.188707313,0.259236623,0.368250224,-1.410091356,0.548912339,0.368723894,0.101541848,1.37993729,0.663460418,1.106999966,0.373648482,0.530666041,0.470180746,0.237183186,0.76069878,0.29342333,0.343732046,1.491393204,-0.23525688,1.468717563,-0.559133358,-0.488618288,-0.485623418,-0.307757279,-2.801019339,-0.860292827,0.21398949,-1.588424059,-0.948625155,-0.367453812,-0.79075428,-2.801019339,-0.328770065,-2.801019339,-0.571580014,-0.081383999,0.02160276,1.402748885,0.594397795,0.519184127,-0.106371713,0.003900152,0.697555579,-0.714699396,0.321471119,0.22459022,0.552068589
BEX1,0.608797503,0.627633451,0.575513006,0.232312252,0.307605804,0.353717029,-0.799981723,0.47256129,0.269835648,0.191805886,0.579957684,1.254909234,1.008271598,0.456671399,0.733914959,0.153145486,-0.213321884,0.551100367,0.330699458,0.52793105,0.384701529,0.732245182,-2.731711702,0.19435847,0.497941233,0.527519166,-0.293533829,-2.731711702,0.026769152,0.280803735,-0.773052401,0.557557765,0.017016462,-2.731711702,-2.731711702,-0.346615885,-2.731711702,-0.132960375,-0.122450122,-0.037802525,0.661261987,0.8810245,0.659343559,0.09947067,0.334309186,0.623234728,0.071317752,-0.085626876,0.211251166,0.467394782
C1QL1,1.641525889,0.247523527,1.105991876,-0.959845198,0.228495479,0.491480933,-0.19703509,0.033673727,0.51665428,0.93155039,1.461349877,-0.317507142,-0.696712968,-0.625889648,0.882889654,0.165610969,-0.439911148,-0.038552874,0.514717437,0.883042581,1.330908424,-0.601739055,-0.428533706,-0.863713482,0.385546803,0.637840474,-0.396991512,-2.91659122,-0.156972663,0.489509117,-0.103444625,-0.539471989,-0.42727744,-2.91659122,-2.91659122,-0.605540268,-0.882457724,-0.347708581,-0.224918345,0.339821119,1.607905867,0.66350065,0.990694233,-0.316257757,0.498413698,0.071135638,-0.165418787,0.232376551,0.708663015,1.024851454
CDC25A,-0.494032019,0.784727895,2.277708774,-0.005124118,0.190457691,0.353541354,-0.481585793,0.147132683,0.714080243,0.551798135,-0.475816088,-0.318259312,-0.461524341,0.885109372,1.181137628,0.304911707,-1.197166172,0.272486499,0.441876591,1.142995509,-0.601837365,-1.807878626,-1.807878626,-0.289251616,0.562770475,-0.400948697,-0.276619651,2.385593428,-0.412324618,1.13377527,-1.807878626,-0.993919613,-0.339588111,-1.807878626,-1.807878626,-0.543734695,-1.807878626,-0.243254775,0.059003833,0.970465622,-0.607801398,0.866799779,1.622878112,-0.060743558,0.254511858,-0.241704913,0.256133111,0.219996107,0.482507068,1.230109866
CDK5R1,0.93982006,0.541237648,0.126486812,-0.093369355,0.185481134,0.744302756,-0.791563395,1.008124028,0.526747711,0.260961293,0.998484995,1.343540274,1.745432482,0.171177223,0.891181044,0.208522323,0.054209757,1.122648711,0.448242793,0.728311995,1.165721893,-0.834741888,-2.290388326,-0.42446216,0.099612823,-0.295049375,-0.318215088,-2.290388326,-0.540456641,0.356210864,-1.526021887,-0.187335503,-0.755189126,-2.290388326,-2.290388326,-0.580451495,-2.290388326,-0.112804091,0.152241509,0.276589983,0.935780939,0.837166707,0.553669094,-0.453771743,0.137443997,1.119963084,-0.430013513,0.194101856,0.32635573,0.595615371
