,Sample_27_1,Sample_28_1,Sample_29_1,Sample_30_1,Sample_31_1,Sample_33_2,Sample_34_3,Sample_37_2,Sample_38_1,Sample_40_2,Sample_27_2,Sample_28_2,Sample_29_3,Sample_30_2,Sample_31_2,Sample_33_3,Sample_34_5,Sample_37_3,Sample_38_2,Sample_40_3,Sample_27_5,Sample_28_5,Sample_29_5,Sample_30_5,Sample_31_5,Sample_33_5,Sample_34_6,Sample_37_5,Sample_38_5,Sample_40_5,Sample_27_neg,Sample_28_neg,Sample_29_neg,Sample_30_neg,Sample_31_neg,Sample_33_neg,Sample_34_neg,Sample_37_neg,Sample_38_neg,Sample_40_neg,Sample_27_pos,Sample_28_pos,Sample_29_pos,Sample_30_pos,Sample_31_pos,Sample_33_pos,Sample_34_pos,Sample_37_pos,Sample_38_pos,Sample_40_pos
C5AR1,-1.382392188,-1.134899455,-0.984341726,-0.572209954,-0.687606066,-0.360007321,1.287435578,0.27706322,-0.268707992,-0.33078351,-0.937723738,-0.673822082,-0.763956612,0.292246106,-0.115431731,-0.927831557,0.760254777,0.402135817,-0.145818473,-0.783061186,-1.445441214,-1.126494218,-1.308160743,-0.552523319,-1.133358478,-0.874737218,-0.559619534,-0.055913353,-0.209119121,-0.364683494,1.128518383,0.284728649,1.146868131,1.107651113,0.210989522,0.34184184,1.202923641,-2.942128937,0.684162611,1.654026235,0.686243179,0.489398853,0.933318411,0.362204753,0.35521337,1.472857169,0.701851251,1.80463079,1.402092485,1.652117335
CTSB,-0.238088059,-0.724070043,-0.79099223,-0.208439732,-0.388523323,0.240402509,2.406030541,0.874528383,0.20948656,0.35334167,-0.187392684,-0.043881733,-0.164852746,1.032849713,1.093897021,-0.233755777,1.428078124,0.716505998,0.388103044,-0.171126888,-0.722735605,-0.618024184,-0.73400894,-0.669742353,-0.673599465,0.033382604,-0.259732395,0.153983108,0.264714,-0.175425531,-0.014367028,-2.079941441,-0.586339079,0.752466694,0.562341248,-0.700557321,0.395648506,-2.95615353,-0.223030176,0.405965746,0.70404817,-0.84322706,0.119498932,-0.62474779,-3.007154945,1.609244379,1.003883414,0.8446524,1.060352262,1.386505033
DAB2,0.310474019,-0.16782609,-0.230590205,-0.24478848,-0.579926247,0.621834649,1.693199766,0.654229406,0.605781329,0.724958397,0.303742223,0.010643271,0.313538575,0.237651153,0.245300236,0.144685807,1.063389752,0.796520966,0.623417933,0.498218195,0.37607997,-0.426370228,-0.499579678,-0.768300664,-0.373378685,0.44365008,0.543832591,0.231806468,0.419197091,0.341869304,0.583881631,-2.428174299,-1.835997976,-0.02884612,0.239374922,-0.800751715,0.959199403,-2.69994798,-0.615521433,0.395195357,0.146659717,-0.587198973,0.11326949,-2.69994798,-2.69994798,1.229112829,1.221534109,-0.193751291,0.488370886,1.300226495
FES,-0.467793115,-0.389544753,-0.521088599,-0.120008112,-0.077731496,-0.188545342,1.105545282,0.543092061,0.083797803,0.174174841,-0.341405257,-0.07821742,0.098896236,0.221467439,0.012565703,-0.241986893,0.939341918,0.491734823,0.139770198,-0.038539954,-0.253859263,-0.233839315,-0.19911412,-0.133331285,-0.110468095,-0.210739673,0.248858678,0.16881602,0.149522482,0.118152896,-0.038074627,-0.296989932,-2.699245546,0.506149771,0.417230974,-0.966588578,0.624012012,-2.699245546,0.374879453,0.984626883,1.33796593,0.60196524,0.209723705,2.777113782,-2.699245546,0.657985876,-2.699245546,0.656349474,0.967225002,1.09388353
FOSL2,0.017848507,-0.875671085,-0.324333575,0.495894067,0.305182312,0.651905234,1.620066793,0.477633708,0.19884908,0.575734082,0.635717973,-0.067785644,-0.175608781,0.677925214,0.264417037,-0.036212819,1.331145069,0.547906167,0.514932438,0.126561788,-0.739060503,-0.572575046,-0.052835958,0.040722412,-0.233631436,-0.283113298,-0.644152173,0.049821352,-0.514955078,0.263481512,-0.070180181,-0.78388505,-0.591300212,0.248296534,-1.252379908,-0.679882173,0.862163827,-3.47957069,-0.00445686,1.101901856,-0.364163573,-0.545719665,-0.618648961,-3.47957069,2.36008208,1.082151639,-0.425291472,0.880581325,0.42149068,1.062572144
FURIN,-0.365042099,-0.612577475,-1.42294826,-0.264667233,-0.365782555,0.108518721,2.110965221,0.409253247,-0.236315246,0.647990109,-0.087067562,0.050524832,-0.097624951,0.229173745,-0.195137922,-0.230750777,1.649501146,0.229414631,-0.417484617,0.851343027,-0.136705667,0.171684958,0.12785816,0.022788533,-0.300535444,-0.482895595,-0.414685188,0.004930866,-0.248902836,0.680586684,0.011036362,-2.503397512,-0.560078937,-0.496886861,-0.318379174,-2.54004429,0.794630372,0.764596599,-0.70954496,1.160872581,-0.119027041,-1.207291281,-1.142359976,2.909206613,-1.568692128,-0.227816255,1.918034432,0.753812585,0.388942627,1.276975794
IL10RA,-0.679935525,-0.893095075,-1.85109908,-1.012528746,-1.883302167,-0.073992861,0.817117749,0.243522794,-0.091226601,-0.45267506,-0.523675066,-0.817030506,-0.993902648,-0.374725672,-0.513774936,-0.450764005,0.604150351,0.424077953,-0.325173131,-0.798229057,-0.843892991,-1.586280214,-1.301310299,-0.950037576,-1.596332093,-0.016199872,0.287392097,-0.110580304,0.044491453,-0.354050723,0.810608864,-0.539644553,0.850660318,0.575612708,0.161390123,-0.437588876,1.076358623,1.460430605,0.311905802,1.088986626,2.284694073,0.266517028,0.863547589,0.155585333,-0.846370273,1.519117589,1.733700383,1.647447021,1.570918473,1.519184356
IL4R,-0.573763594,-0.042422289,-0.870577633,-0.266838108,-0.768821822,-0.082832066,1.570450777,0.701121877,0.272773915,-0.007986751,-0.344336839,0.099554693,0.213553866,0.067061327,0.065347747,-0.289952301,1.179524918,0.753889107,0.210473551,0.127528168,-0.317766973,-0.057833877,-0.539779792,-0.721120954,-0.776745611,0.216179572,0.279236271,0.176540382,0.439063366,0.144638547,0.433970612,0.031921803,-3.078736756,0.468766411,0.371808449,-0.59956006,1.027175098,-3.078736756,0.25851419,0.967090878,0.877954886,0.551168335,0.370063236,-3.078736756,-0.153107771,1.238784958,-1.12847975,1.418686109,1.292413471,0.952879939
ITGA5,-0.643389149,-0.23313674,-0.350731749,0.712300435,0.332433094,0.57086105,1.637248631,0.476833425,0.554751082,0.924423107,-0.467297283,0.574741753,0.589000918,0.931429218,0.675410114,-0.311351342,1.436797394,0.757953188,0.844652437,0.997564896,-0.933205756,-0.249296613,-0.907765306,0.197635165,-0.10184213,-0.224142758,-0.055795112,0.190695996,0.422615746,0.646983259,-0.639195069,-1.82417503,-0.445564317,0.217835769,0.172754168,-0.72782704,0.880648476,-2.95295899,-0.262635824,0.487535896,-0.024201758,-0.178293837,-0.650211188,-2.95295899,-2.95295899,0.177657744,0.318567869,0.857905164,0.719951929,0.781747048
LHFPL2,-0.666409634,-0.289721084,-1.045319197,-0.184189744,-0.768699653,0.621674483,0.981262441,0.767268643,0.393651742,0.546094128,-0.033024998,-0.185856392,-0.312008397,0.034269854,0.262020375,-0.025324852,0.798072846,0.767889006,0.106284175,0.224242965,-0.327480352,-0.844499185,-0.785465231,-0.693352252,-0.701196381,0.184337128,0.69127844,0.485432126,0.430228318,0.329799794,0.313031124,-3.127859188,-0.859244833,0.201515856,0.842553428,-0.840638138,0.8287482,-0.094751491,-0.493916269,0.438561221,-0.239780161,-0.75160738,0.70652087,0.547009622,-4.14483034,1.404116422,0.667820312,0.869968579,1.381777314,1.589745736
