,Sample_27_1,Sample_28_1,Sample_29_1,Sample_30_1,Sample_31_1,Sample_33_2,Sample_34_3,Sample_37_2,Sample_38_1,Sample_40_2,Sample_27_2,Sample_28_2,Sample_29_3,Sample_30_2,Sample_31_2,Sample_33_3,Sample_34_5,Sample_37_3,Sample_38_2,Sample_40_3,Sample_27_5,Sample_28_5,Sample_29_5,Sample_30_5,Sample_31_5,Sample_33_5,Sample_34_6,Sample_37_5,Sample_38_5,Sample_40_5,Sample_27_neg,Sample_28_neg,Sample_29_neg,Sample_30_neg,Sample_31_neg,Sample_33_neg,Sample_34_neg,Sample_37_neg,Sample_38_neg,Sample_40_neg,Sample_27_pos,Sample_28_pos,Sample_29_pos,Sample_30_pos,Sample_31_pos,Sample_33_pos,Sample_34_pos,Sample_37_pos,Sample_38_pos,Sample_40_pos
ALKBH7,0.314487705,0.307779379,0.215114698,-0.018517667,0.110917019,-0.438868092,-0.46232444,-0.192453423,0.030939874,-0.025578828,0.216223456,0.204863186,0.114719954,0.168834313,0.15344222,-0.0941898,-0.022965006,-0.004278023,0.056700493,-0.147010652,0.36361337,0.159948425,-0.128852405,0.181260876,0.236674042,-0.003397676,0.181857393,0.021389466,0.127540171,-0.044807099,0.204856263,0.494146944,1.224680489,0.33614611,0.537660168,0.766529281,0.042987078,-4.462219686,0.540316129,0.107974594,1.51591299,0.590238467,1.16007867,0.301024282,-4.462219686,0.044710372,-0.871918756,0.0893158,0.196765761,0.059951803
AQP10,-0.209136447,-0.209136447,0.048444297,-0.047029075,-0.209136447,-0.209136447,0.130125773,0.12400122,-0.209136447,-0.209136447,-0.122758256,-0.209136447,0.055478489,-0.209136447,-0.138430241,-0.209136447,-0.062656307,-0.209136447,-0.051640868,-0.209136447,0.070602884,-0.025110999,-0.106352683,-0.209136447,-0.209136447,-0.209136447,0.044374779,-0.112327198,-0.209136447,-0.209136447,-0.038027257,-0.209136447,-0.209136447,-0.209136447,-0.147859556,-0.209136447,0.108009797,-0.209136447,-0.209136447,-0.209136447,-0.209136447,-0.209136447,-0.209136447,-0.209136447,-0.209136447,-0.209136447,6.890453381,-0.209136447,-0.209136447,-0.136068318
C19orf53,0.236431233,0.132162446,0.328771536,0.095850854,0.435078613,-0.313255167,-0.101964466,-0.31519815,-0.006461962,0.076433327,0.110246317,0.252837084,0.134549967,0.138199445,0.318132915,-0.226465538,0.123151274,-0.090676006,0.076089947,0.133143068,0.07404548,0.212917947,-0.306016178,0.154705688,0.393506586,-0.16487667,-0.236904112,-0.220808771,0.011265325,0.107589633,-0.128154757,0.600525557,0.177991018,0.22080478,0.490933763,0.931663309,-0.09142213,1.502788659,0.494031569,0.164403231,0.411492596,0.67823746,0.540149049,1.741248939,-4.443383848,-0.249141543,-4.443383848,0.032560964,-0.09631936,-0.097507075
COX5B,0.148033338,0.1982533,0.262188229,-0.066119294,0.048669373,-0.32622307,-0.354843573,0.084379905,0.041620904,0.045728478,0.038419462,0.224947941,0.189099396,-0.007492255,0.136875996,0.059425811,-0.194022337,-0.031492758,0.01609362,0.058960897,0.161297072,0.619079903,0.407919255,0.035260292,-0.02251055,-0.007582421,-0.168061478,0.139281679,0.105196899,0.065728046,-0.14129721,1.270924225,1.243321358,0.331074874,0.299658078,1.086027895,-0.090524163,-1.709421315,0.563359754,0.006946116,0.058986905,1.29280527,1.073070711,0.921799998,-5.580608626,0.013480232,-2.255463746,0.121658109,-0.128403099,-0.285507425
COX6A1,0.191259275,0.178085938,0.285043943,-0.065749342,0.161294624,-0.235238765,-0.44848504,0.157386986,0.012408846,0.083705888,0.085907226,0.298533151,0.198722212,-0.03271884,0.190573155,0.151802091,-0.227152799,0.002093808,0.064634403,0.127320692,0.078306773,0.687848896,0.341171125,0.045813669,0.305149935,0.043277343,-0.170826533,0.208443364,0.102174329,0.103724877,-0.137138037,1.603560114,0.912321195,0.255790079,0.34076709,1.132376045,-0.120045489,-0.823070197,0.412145048,0.050250886,-0.029085689,1.222356497,0.53719568,1.074402651,-4.395647841,-0.249314598,-4.395647841,0.075663427,-0.18428823,-0.20710202
DPM3,0.096541471,0.11963688,0.646702032,-0.146399126,0.215194894,-0.583703876,-0.173443997,-0.341174157,-0.134929813,0.110563023,0.108261075,0.148671092,0.232052912,0.02486703,0.164133343,-0.352649898,0.184289743,-0.249340717,-0.086144309,0.113307774,0.216311621,0.165357618,-0.452638416,-0.121799814,0.23267208,-0.39558285,-0.372403328,-0.246338007,0.006485317,-0.005503019,0.077586507,1.419258257,1.322396861,0.131706771,0.409577781,1.007744468,-0.083137847,1.387305223,0.582689647,0.276320695,0.829572739,1.106103691,0.775150563,-4.21679028,-4.21679028,-0.462348007,1.088243686,-0.098826433,-0.290961621,-0.167798994
MRPL54,-0.052745754,0.243840355,0.165140229,0.322018455,0.470124205,-0.207415793,-0.098829749,0.028402414,0.18474419,0.007986164,-0.1784602,0.29031949,0.03814229,0.282700129,0.336024477,-0.026536327,0.049039638,0.048454453,0.237319345,-0.015120903,0.042779879,0.40892011,-0.073103517,0.402614048,0.448497753,-0.112532282,-0.223612988,0.050875505,0.19088003,0.03861297,-0.085216943,0.67102273,-3.699946889,0.405850995,0.545467346,0.667915495,0.000723009,-3.699946889,0.513206736,0.245649534,1.175758296,0.636703046,0.63999013,0.923715965,-3.699946889,-0.094172052,1.261411196,0.185423947,0.186880193,-0.079567571
MRPS15,0.107316455,0.31485249,0.655527669,0.140713435,0.042423698,0.095677564,0.116347189,0.133252744,0.182059436,0.365834589,-0.043970921,0.384734982,0.366624063,0.136958284,0.208326773,0.162742316,0.214488282,0.134322629,0.258621134,0.405245461,-0.060410547,0.494613149,0.28548821,0.29514122,0.240688437,0.039370316,-0.078187945,0.098133252,0.26590537,0.441154272,-0.11700994,0.381916657,-0.51176728,0.413611137,0.584888508,-0.12446385,0.142603387,-3.68809935,0.352614889,0.278547883,0.592510272,0.392322386,0.116894525,-3.68809935,-3.68809935,0.072937063,2.052279024,-0.230052245,0.171180447,0.091291182
NDUFA7,0.250985896,-0.131042152,0.365955612,0.053069043,0.376183916,-0.365013448,-0.688158448,-0.453142072,-0.030103834,-0.106071928,0.116794953,0.157522616,0.097867229,0.056038539,0.199922365,-0.154261404,-0.22686553,-0.206163487,0.041268846,0.031474008,0.006426434,0.076610659,-0.386281716,0.163438969,0.25392084,-0.252817397,-0.713330911,-0.227310233,-0.03201785,-0.148290525,-0.13390038,0.943897865,1.233963259,0.04754149,0.398397216,1.277958426,-0.505005229,-5.305756481,0.445809255,-0.149053403,0.511836418,1.081271764,0.758792224,2.617879843,1.737582424,-0.754584469,-0.765260643,-0.580466399,-0.505095151,-0.48241702
NDUFB1,0.149856763,0.230643564,-0.080968337,-0.191214385,-0.180216598,-0.351050442,-0.181828109,-0.145281997,-0.361034471,-0.42796736,0.016716859,0.193115739,-0.026843234,-0.156983748,-0.01637309,-0.088931313,0.008949991,-0.370448624,-0.349555345,-0.387274676,0.103966699,0.543201057,0.126842272,-0.093679793,0.051111149,-0.18417542,-0.078732062,-0.179094286,-0.18386398,-0.270013124,-0.258902144,1.125003729,1.82089791,0.348565788,0.51457767,1.471277277,0.090867472,0.308199575,1.152947181,-0.107093751,0.910821996,1.267159921,1.255701542,1.418043483,-4.033488569,-0.024567401,-4.033488569,0.118093429,-0.092531801,-0.370958437
