,Sample_27_1,Sample_28_1,Sample_29_1,Sample_30_1,Sample_31_1,Sample_33_2,Sample_34_3,Sample_37_2,Sample_38_1,Sample_40_2,Sample_27_2,Sample_28_2,Sample_29_3,Sample_30_2,Sample_31_2,Sample_33_3,Sample_34_5,Sample_37_3,Sample_38_2,Sample_40_3,Sample_27_5,Sample_28_5,Sample_29_5,Sample_30_5,Sample_31_5,Sample_33_5,Sample_34_6,Sample_37_5,Sample_38_5,Sample_40_5,Sample_27_neg,Sample_28_neg,Sample_29_neg,Sample_30_neg,Sample_31_neg,Sample_33_neg,Sample_34_neg,Sample_37_neg,Sample_38_neg,Sample_40_neg,Sample_27_pos,Sample_28_pos,Sample_29_pos,Sample_30_pos,Sample_31_pos,Sample_33_pos,Sample_34_pos,Sample_37_pos,Sample_38_pos,Sample_40_pos
ABCA13,-0.823732801,-0.378424748,-0.155249555,-0.603828389,0.469893764,1.007482592,2.433529343,1.622292233,0.289397319,1.131337273,-0.73903702,-0.030581453,0.244721717,-0.49580892,0.175317273,0.11446769,1.096018272,1.248760898,0.740003407,0.008079293,-0.817808571,-0.758612007,-0.738368552,-0.689065604,-0.673268575,-0.136337139,-0.629870435,0.062804039,0.077639234,-0.391576076,-0.78162431,-0.297120168,-0.477934028,-0.795645802,-0.840743683,-0.345202907,0.91169152,-0.867296181,-0.867296181,0.344569582,-0.867296181,-0.867296181,-0.247267354,-0.867296181,3.071550386,-0.809683734,3.333471829,-0.517700846,-0.686896517,-0.185157561
ABI3BP,1.67648867,0.518631186,0.031648928,-0.415186249,-0.453207781,0.620397878,0.640615778,0.247682539,0.981858744,0.903887993,1.965357489,0.028277928,0.597172153,0.205686071,-0.03063785,0.449006031,-0.515190918,0.856733984,0.748818174,0.516272417,1.324831442,-0.489079677,-0.254311424,-0.515630547,-0.196568895,1.328177053,0.850488507,0.233405692,0.908563551,-0.041206681,1.203176077,-1.165556759,-1.165556759,-1.074459994,-1.060397726,-1.165556759,-0.993713638,-1.165556759,-1.165556759,-0.676302489,-1.165556759,-0.908582971,-0.20304768,-1.165556759,3.383812302,-0.935946224,-1.165556759,-0.867061009,-0.849871812,-0.41613295
ABL2,-0.108271135,-0.243357373,-0.050656247,-0.250182371,-0.09723744,0.315393127,0.954557375,0.166715795,0.026736118,0.313198494,0.074356819,-0.181323482,-0.096016041,-0.190366383,-0.261841789,0.005235818,0.692299585,0.193084612,-0.063601586,0.420489285,0.164591165,-0.352552807,0.165800971,-0.365014915,-0.067042682,0.000632503,-0.066319949,0.12054759,-0.114595051,0.272653127,0.941978215,-1.327101597,-3.107352445,-0.600965831,-1.130704545,-1.444154421,1.372352658,-3.107352445,-1.348746633,-0.184962059,1.768873383,-0.734968268,0.758984631,0.292978643,2.840870631,0.756723027,-0.141640905,1.77970746,0.836988125,0.400579241
ADAMTS14,-1.095600694,0.777191496,0.000819484,-0.557097221,-0.833195028,0.408945465,2.17705256,0.795038879,0.344066316,0.401224291,-1.128864244,0.21748209,0.606745129,0.342597302,0.259294088,0.766563365,1.92194973,0.967769467,0.670001465,-0.012232158,-0.784509408,-0.278871281,0.086924718,-0.949056863,-0.760286855,1.002932999,1.570706532,0.502297689,0.244223801,0.514441068,-0.575499618,-1.766384218,0.224894795,-0.835162851,-0.553421063,-0.214461775,1.239416542,-1.766384218,-1.056928091,-0.526273982,-1.766384218,-0.326302201,0.416290937,-1.766384218,2.500253698,0.211445887,-1.766384218,0.06837331,0.207962975,-0.127221656
ADAMTSL5,-0.313590301,-0.363166354,-0.40403382,0.186650576,0.243073533,-0.42024006,-0.324586966,0.252326602,-0.049746016,-0.266201631,-0.282577261,-0.042928206,0.032259834,0.336447053,0.250308391,-0.175767606,-0.372911476,0.079125243,-0.047157469,-0.358385476,-0.163689656,-0.085932763,0.290968497,-0.371879768,0.072390923,-0.20410234,-0.386628519,0.322601435,-0.343622576,-0.37870792,-0.131166002,2.277151133,-0.659945334,-0.562464834,-0.404930907,-0.659945334,-0.552963392,4.22824134,-0.063467162,-0.174190595,-0.659945334,-0.659945334,0.059211217,-0.659945334,-0.659945334,-0.606887003,4.381767914,-0.659945334,-0.126900765,-0.414079508
AKAP9,0.523415999,0.411198287,0.100944482,0.63666147,0.115865009,0.809223497,0.610517124,0.640778129,0.613901858,0.316657947,0.484341972,0.342523699,0.153130257,0.39712723,0.056612471,0.633471517,0.337450626,0.563266374,0.477393778,0.261625525,0.734558008,0.202699575,0.696251871,0.383102892,0.101444905,0.574964256,0.632863138,0.566760261,0.439283837,0.256354832,0.753886996,-1.45966334,-1.49461247,-1.558937172,-1.430982279,-1.316524781,0.051875487,1.974829072,-1.572842344,-0.932104565,-0.229477789,-1.211956825,-1.10152305,-2.580101977,2.646136877,-0.520702392,-2.580101977,-0.411427353,-0.303668798,0.203507853
ALDH3B1,-0.844082249,-0.375176042,-0.073980826,-0.205815093,-0.240205404,0.183000229,1.365008839,0.132641433,0.345482861,0.323461952,-0.834739249,-0.107718099,-0.050119635,0.27985172,0.281218544,-0.351692985,0.950273178,0.292623715,0.583039105,-0.26121556,-1.229693616,-0.504846514,-1.072473986,-0.59284687,-0.580976912,-0.016535187,-0.017832941,-0.061042412,0.164113913,-0.32073418,-0.679602882,-0.015457767,1.498387125,0.053404834,0.235767165,-0.847768861,0.408629157,-3.015191936,-0.048176836,0.430620899,0.444043778,-0.497090458,-0.433801431,-3.015191936,3.332601365,0.590544219,1.860870733,0.676358731,0.858647288,1.003419085
ALOX5AP,-0.610817272,-0.345028171,-0.966841033,-0.211741453,-0.417818366,-0.369441216,0.860920011,0.181209013,0.016262705,0.005441556,-0.410227549,-0.204258755,-0.495771353,0.260591024,0.412611115,-1.006983952,0.702378277,0.439521874,0.071020069,-0.465333759,-0.625406352,-0.929789554,-1.210352938,-0.671225634,-0.732090835,-0.606052932,-0.209405316,0.137036561,0.190639786,-0.029495147,-0.215848453,0.78409776,0.876192179,1.149622339,1.04447839,0.339803266,0.64066442,-3.540856698,1.0942264,1.060613736,0.498121662,1.071870046,0.746469856,0.009819568,-3.540856698,0.594779665,1.544066837,0.89767649,1.116272464,1.069236364
ALPK2,-0.391726093,-0.702988759,-0.341093067,-0.296377198,-0.190250602,2.519816283,1.424175291,0.813128107,-0.164768989,0.769948795,-0.25844687,-0.311998064,-0.463446321,0.128764843,0.651298234,-0.389827446,0.867701785,0.916617485,0.842718792,0.179164338,-0.666355924,-0.671240958,-0.524070852,-0.511118616,-0.617534779,-0.686719373,-0.650774557,-0.443986114,-0.53327895,-0.118441888,-0.317482772,-0.774721812,-0.774721812,-0.252168137,-0.774721812,0.043569132,1.208460977,-0.774721812,-0.774721812,-0.190193411,0.613936418,-0.774721812,0.249331949,-0.774721812,4.981489338,0.070123294,-0.774721812,-0.459066553,0.093384706,-0.022498981
ANKRD20A5P,-0.22106524,-0.315963072,-0.215245792,-0.349269219,-0.378437249,-0.306090259,-0.365279375,0.418434236,-0.205065068,-0.149129349,-0.363202741,-0.105072647,0.16911024,-0.36513605,-0.341683795,0.375144995,-0.326686107,-0.30231416,-0.309281483,0.221085454,-0.230911044,0.648007446,1.120205198,-0.350081702,-0.350281339,-0.329723399,-0.191478146,0.388119295,-0.26594074,-0.084744718,-0.194522868,-0.378437249,-0.378437249,-0.364636624,-0.325995851,-0.378437249,-0.296290589,-0.378437249,-0.140648266,0.060120665,1.867136388,-0.378437249,-0.124721433,-0.378437249,6.29233285,-0.349512434,-0.378437249,-0.378437249,-0.257910947,-0.055877065
