,Core,Rim,Inv,5ALA-,5ALA+
Sample_27,0.450676515,0.411740041,0.503790091,0.474995144,0.493583295
Sample_28,0.424073127,0.379059415,0.487448862,0.513996139,0.362465018
Sample_29,0.664112205,0.411407699,0.633959632,0.515824826,0.403173697
Sample_30,0.189362148,0.073294453,0.353883224,0.326591929,0.614329659
Sample_31,0.308545777,0.239637417,0.486851797,0.456755682,0.914977617
Sample_33,0.348854795,0.368145361,0.301776674,0.537950033,0.415558387
Sample_34,0.213167994,0.204261775,0.28244747,0.266812673,0.672365589
Sample_37,0.291156227,0.194684985,0.401770817,1,0.309286325
Sample_38,0.270346135,0.20125047,0.296380691,0.498679872,0.432941602
Sample_40,0.215583401,0.371862178,0.378452343,0.426541959,0.378154873
