,Sample_27_1,Sample_28_1,Sample_29_1,Sample_30_1,Sample_31_1,Sample_33_2,Sample_34_3,Sample_37_2,Sample_38_1,Sample_40_2,Sample_27_5,Sample_28_5,Sample_29_5,Sample_30_5,Sample_31_5,Sample_33_5,Sample_34_6,Sample_37_5,Sample_38_5,Sample_40_5,Sample_27_neg,Sample_28_neg,Sample_29_neg,Sample_30_neg,Sample_31_neg,Sample_33_neg,Sample_34_neg,Sample_37_neg,Sample_38_neg,Sample_40_neg,Sample_27_pos,Sample_28_pos,Sample_29_pos,Sample_30_pos,Sample_31_pos,Sample_33_pos,Sample_34_pos,Sample_37_pos,Sample_38_pos,Sample_40_pos,Sample_27_2,Sample_28_2,Sample_29_3,Sample_30_2,Sample_31_2,Sample_33_3,Sample_34_5,Sample_37_3,Sample_38_2,Sample_40_3
AK4,0.062768567,0.581554755,0.782391928,1.439278942,1.09244326,0.691340663,0.876570468,0.720336666,0.682161872,0.880198761,0.024348479,0.82219158,0.756744001,0.995188466,0.441465803,0.63719361,0.161904344,0.699790449,0.639482949,0.1792732,-0.596155938,0.266645033,-2.060106011,-0.184445075,-0.731298143,-1.35955311,-0.027113894,-2.060106011,-1.245270481,-0.601148021,-1.710747784,-0.118343864,-1.077844114,-2.060106011,-2.060106011,-0.856127112,-2.060106011,-0.657166635,-0.883299673,-0.277130515,0.132468876,0.796558741,0.66812023,1.19914345,0.955065214,0.609991681,0.702406969,0.65205008,0.891632952,0.58546243
B4GALT1,-0.82452322,-0.54833155,-0.707595863,-0.379053722,-0.480689807,0.128740371,1.655195442,0.28971,0.120834341,-0.077146362,-0.51830211,-0.693152651,-0.985946244,-0.804127883,-0.893861953,-0.292617331,0.023807474,0.032969074,-0.008976006,-0.221334791,1.14904734,-1.157511148,-2.297167283,0.63037824,0.173214665,-0.564336384,1.612687692,-3.407804645,-0.111217137,0.711098292,0.379466592,-0.037290525,1.007620472,2.345982828,-0.417047649,1.515227022,-0.50809858,1.652242598,1.314169673,1.077324865,-0.461392961,-0.359678777,-0.322463901,0.165151188,-0.02148727,-0.583060704,1.188435883,0.386276496,0.355653146,-0.231017237
CD44,0.528005825,0.184897744,0.101432784,1.130372164,1.041919354,1.075243538,1.218729429,0.590769135,0.938371165,0.7238557,0.027570393,-0.225248596,-1.322732169,0.411053905,0.561800714,0.943553601,-0.086743742,-0.038066504,0.55759626,-0.168774495,-0.390303314,-1.180737747,-0.562033832,-0.684510177,-1.251412407,-1.712244678,0.645125405,-3.959100118,-0.550581509,-0.047038425,-1.400447701,-1.224727331,-1.441224864,-0.923062277,0.446335751,-0.757775907,0.346842848,-0.342845018,-0.716253754,-0.187113604,0.739957961,0.221940522,0.48394585,1.151359014,1.103193691,0.741850844,0.929559562,0.967539077,1.214115689,0.146040242
COPB2,0.504893914,0.257872785,0.800971651,0.537018133,0.539268314,0.727269904,0.408154231,0.713788935,0.810519421,0.7878627,0.284892576,-0.096539693,0.26704353,0.547242755,0.560722618,0.337591451,0.257574974,0.514441454,0.655808238,0.705798036,0.321635671,-1.117572313,-1.123499898,-0.029245518,-0.112901446,-1.127711567,0.070518459,-0.618050944,-1.018347327,0.426547465,-0.962040902,-0.838652699,-0.727758007,-3.670533336,-3.670533336,0.02283232,-2.075743204,-0.209103197,0.093831148,0.488161505,0.441550872,0.360936486,0.660460523,0.455598741,0.439062703,0.389151407,0.634530854,0.707895173,0.762374276,0.904410164
EGLN3,0.156064284,0.81733643,0.076564829,1.304037679,0.637288363,0.672072798,0.435497685,0.471831177,0.505617988,0.590785075,0.239876826,0.248880715,0.341450473,-0.011913724,-0.387770005,0.724206046,0.793181586,0.52679695,0.450740841,0.051684684,-0.21998556,-1.036397219,-2.859835626,0.445945801,-1.066080089,-0.307571909,0.22292386,-2.859835626,-0.64369904,-0.062463398,-1.238617979,-0.065115113,0.376096125,0.924058989,-2.859835626,0.210377805,-2.859835626,-0.336956484,-0.033064576,0.093022803,0.231315178,0.842828984,0.407526628,1.431587162,0.618979662,0.371975783,0.2772354,0.473950937,0.63783153,0.239406521
GALK1,0.27975897,0.27061179,0.147040904,0.143881396,0.785743395,-0.047377892,0.18234163,-0.057549038,0.326588213,0.526230293,0.197182746,-0.305556191,-0.89089978,0.220702873,0.498506953,-0.119583292,-0.349643626,0.109955094,0.350004957,0.206196579,0.054974028,1.089209711,-3.529623756,-0.040538068,0.332131997,-0.295634712,0.083131289,-3.529623756,0.069147901,0.08817951,0.7704623,0.089942277,-0.085221794,-3.529623756,1.914127818,-0.094746559,1.326856528,0.007108546,0.074227002,0.077525727,0.36542873,0.362918499,0.050719626,0.195037961,0.775315482,-0.296084069,0.200689593,0.207122811,0.41467976,0.378023401
GFPT1,0.626705816,0.267193082,0.38498942,0.551082793,0.369800045,0.624730907,0.405023872,0.659182545,0.74778087,0.931545185,0.362921591,0.124863894,0.57828795,0.144089819,0.410192427,0.260491528,0.090124753,0.618773601,0.55822452,0.618074586,0.420702895,-0.628416762,-2.521793778,-0.321702266,-0.408527836,-1.387813771,-0.116684247,-2.521793778,-0.946828318,0.340268309,-1.653917085,-0.652180217,-1.178705039,-2.521793778,2.538520575,-0.131924768,-2.521793778,-0.511068539,-0.079693612,0.443446219,0.527275875,0.402739749,0.360197651,0.521249669,0.420347432,0.401978194,0.069709653,0.733028182,0.716633088,0.874460876
GMPPA,0.490771468,0.373496169,0.381301787,0.547612736,0.532832257,0.361369282,0.591549803,0.459075001,0.503585301,0.652711011,0.501276527,0.266093457,0.066189705,0.33229415,0.494714027,0.357249275,0.180071375,0.447423937,0.470179331,0.4404392,0.429618545,-1.325101297,-2.80967293,0.089655022,0.243466954,-0.460300046,0.349295539,-2.80967293,0.113299652,0.323820581,0.185187099,-0.088335872,-0.142060499,-2.80967293,-2.80967293,0.199704493,-2.80967293,-0.118665371,0.28198629,0.499446028,0.392375997,0.397944984,0.380048566,0.656227681,0.610235089,0.248480663,0.624691342,0.573180866,0.524672908,0.609253635
GNPDA1,0.574373162,0.359587328,0.502893402,0.419500565,0.490413834,0.679216581,0.768177307,0.584405612,0.579194061,0.539182979,0.413199117,0.329692091,0.347060396,0.334462685,0.454442122,0.20745966,0.208849727,0.448816901,0.517691731,0.371332589,0.319838868,-0.541920212,-3.071041286,0.215036572,0.113237919,-0.750534957,0.438822878,-3.071041286,-0.520822039,0.186565451,-0.456842533,-0.684723843,-0.231954026,-3.071041286,-3.071041286,0.440322283,-1.166808946,0.089778562,0.214740071,0.408575145,0.407668937,0.493252883,0.537965887,0.415124534,0.527069342,0.329855588,0.727617968,0.579785433,0.498571121,0.563990405
GPC4,0.028014709,0.293390267,0.184860423,0.511030551,0.525905388,0.725364936,1.491778027,0.508874868,0.511777872,0.96742757,0.6627931,0.264624824,0.007248303,0.88204229,0.614967976,0.501751756,0.022333465,0.19513187,0.170996809,0.254101531,0.86699062,-0.859999774,-0.765095186,-0.623199904,-0.498563465,-2.251730948,0.560615893,1.965618244,-1.667202114,-0.331484677,-0.190838022,-0.410593917,-0.89198312,-2.501978437,-2.501978437,-0.487452024,-2.501978437,-0.296652519,-1.348556634,-0.281742353,0.140369406,0.616693915,0.060104322,0.585759131,0.374541846,0.551784281,1.701635601,0.185516985,0.827360065,0.649623123
