Names,Region,KLF4,MYC,CTNNB1,EPAS1,EZH2,KDM5B,NES,TWIST1,ABCG2,CD34,CD44,NANOG,PROM1,ZFP42,ZSCAN4
Sample_27_5,invasive region,3.797484999,6.783079377,8.610260829,7.717086123,4.534719368,5.921947484,9.231296281,1.505907721,6.200289891,5.099170688,7.312240787,0.177630789,3.287696589,0,0.24179525
Sample_28_5,invasive region,6.068364849,4.081361411,8.443801306,8.235188271,2.900140163,4.681580929,7.906772244,2.943085863,6.573345785,6.077945209,6.84852719,0,3.604639808,0,0.158131789
Sample_29_5,invasive region,3.923475693,3.66367034,8.490195729,8.141928495,1.835535274,5.361362041,6.106954901,2.983399532,5.931297972,5.565552811,4.835553175,0,3.197491961,0.075934733,0.08786691
Sample_30_5,invasive region,4.733134525,6.134419184,8.841063925,8.37238321,5.300129546,5.571254323,10.49461536,5.208610933,5.577846654,4.096058854,8.015615639,0,5.521691537,0.059803355,0.198541334
Sample_31_5,invasive region,3.640656605,5.287063795,8.845529007,7.293769521,5.674856559,5.396305948,11.17354372,1.744192435,4.930649095,4.449511329,8.292111266,0.07394878,4.643382443,0,0
Sample_33_5,invasive region,3.135549075,6.275197595,8.644636115,7.638264128,4.627006842,5.040999783,8.362083676,1.675198515,5.839106177,4.898707239,8.992311853,0,4.503437749,0,0.079936351
Sample_34_6,invasive region,5.557352221,4.803039738,8.331076659,7.603715046,2.7155806,4.927929078,6.550733349,2.202513164,6.197171592,4.876205538,7.102568963,0.082419638,3.529301966,0,0.149473034
Sample_37_5,invasive region,5.949614856,5.885278054,8.752951518,8.089151809,4.77032354,5.198825043,8.808800789,3.213845397,5.963972793,5.069727974,7.191851406,0.088915949,4.301043297,0,0.160967493
Sample_38_5,invasive region,3.730309071,5.677600857,9.372191655,8.143038354,5.001077736,5.32176296,9.678646923,1.761850414,5.601526588,5.231859168,8.284399573,0.077367567,4.87104185,0,0.205940288
Sample_40_5,invasive region,4.655678908,5.925359206,9.349734537,8.300624453,5.506745925,5.7390676,10.39446234,3.451605366,6.43225016,5.572176304,6.952110425,0,5.531315905,0,0.079257309
Sample_27_neg,Neg,7.901427415,7.817921414,8.210077097,7.021043046,4.727958375,5.853440094,7.744828088,1.649614795,5.808269663,4.344614239,6.545788392,0,2.973737043,0,0
Sample_28_neg,Neg,5.41812286,2.289563923,6.429637655,6.864003656,4.700066925,1.85473254,6.590168487,1.815731641,5.354981936,3.633228011,5.095995417,0,2.926682991,0,0
Sample_29_neg,Neg,6.617397561,0,5.32249825,6.337732643,0,1.289002249,4.967938434,0,3.935972953,5.849011254,6.230805026,0,0,0,0
Sample_30_neg,Neg,7.542005824,6.313052942,7.717126682,7.803148722,4.29175283,3.780901666,5.91372378,4.007513821,6.265032193,5.448859439,6.0061623,0,2.723112843,0.166835076,0
Sample_31_neg,Neg,5.43180577,5.731833063,7.477872833,7.071601912,4.659212542,3.428883912,8.235310036,3.542128916,5.119877491,4.499640986,4.966365911,0.110282981,2.463969037,0,0
Sample_33_neg,Neg,6.496428464,6.57601761,6.272870886,4.306753321,3.472109043,1.712707444,6.08618485,1.523280487,1.901002573,1.871238182,4.121120104,1.701006795,1.788932407,0,0
Sample_34_neg,Neg,9.209057016,6.835051628,8.334048226,6.782681368,4.16096233,4.276773218,7.54443198,5.960519841,5.409927551,4.926269208,8.444943111,0.063767932,3.248397985,0,0
Sample_37_neg,Neg,0,0,0,0,0,0,5.273520861,0,3.863503764,0,0,0,0,0,0
Sample_38_neg,Neg,6.656005767,4.957153497,5.587149204,5.28514946,2.959807666,2.846497206,5.929626208,2.433541408,3.670734459,3.637076056,6.251810559,0,0.639787691,0,0
Sample_40_neg,Neg,8.131733897,6.313134101,8.362942386,6.959297637,5.49644155,5.404759923,8.390205285,4.622565712,4.532770088,4.180570069,7.175395358,0,5.985432273,0,0
Sample_27_pos,Pos,7.329071748,5.350418779,7.333262553,3.547024782,1.872180541,4.548386455,2.024899788,0,3.017775647,2.097373811,4.693009495,0,2.63692771,0,0
Sample_28_pos,Pos,7.240018141,3.841834516,6.621960641,7.368091712,3.319254494,3.91074086,6.099792054,3.193996577,5.728246648,5.595890076,5.015310938,0,2.467863115,0,0
