,Sample_27_1,Sample_28_1,Sample_29_1,Sample_30_1,Sample_31_1,Sample_33_2,Sample_34_3,Sample_37_2,Sample_38_1,Sample_40_2,Sample_27_5,Sample_28_5,Sample_29_5,Sample_30_5,Sample_31_5,Sample_33_5,Sample_34_6,Sample_37_5,Sample_38_5,Sample_40_5,Sample_27_neg,Sample_28_neg,Sample_29_neg,Sample_30_neg,Sample_31_neg,Sample_33_neg,Sample_34_neg,Sample_37_neg,Sample_38_neg,Sample_40_neg,Sample_27_pos,Sample_28_pos,Sample_29_pos,Sample_30_pos,Sample_31_pos,Sample_33_pos,Sample_34_pos,Sample_37_pos,Sample_38_pos,Sample_40_pos,Sample_27_2,Sample_28_2,Sample_29_3,Sample_30_2,Sample_31_2,Sample_33_3,Sample_34_5,Sample_37_3,Sample_38_2,Sample_40_3
ABCG2,0.972863909,0.780327601,-0.163266052,0.310802527,-0.563264997,-0.210075103,-1.411717472,0.808994698,0.200078096,0.48182963,0.890260642,1.124257955,0.7215369,0.499836452,0.093885247,0.66371009,0.888304705,0.742032007,0.514689564,1.035756479,0.644368052,0.360045751,-0.53002004,0.930869904,0.212577746,-1.80644432,0.394510094,-0.575475951,-0.696389465,-0.155682231,-1.105954386,0.594174044,-0.462600214,-2.99883801,-2.99883801,-0.932927454,-2.99883801,0.226634098,0.089008721,-0.224577408,0.557073456,0.490597111,0.624328283,-0.010988903,-0.217612225,0.427809303,0.608819568,0.484822579,-0.059653507,0.748358547
CD34,0.385906271,0.648099092,0.255146188,0.309621498,-0.352059449,0.160945432,0.62184474,0.905263179,0.313447345,0.661228724,0.449094965,1.054994509,0.737803661,-0.171870323,0.046930523,0.325000284,0.311070855,0.430868779,0.531234301,0.741903861,-0.018004861,-0.458380638,0.913275476,0.66556592,0.077962733,-1.549120958,0.342062216,-2.707490262,-0.455998549,-0.11955459,-1.409134197,0.75658361,-0.615935783,-2.707490262,-2.707490262,-1.120123834,-2.707490262,-0.382302008,-0.1610713,-0.312722471,0.155490979,0.539095681,1.291088815,0.606201469,0.333065545,0.265621829,1.038961535,0.609302893,0.430514378,1.041042724
CD44,0.528005825,0.184897744,0.101432784,1.130372164,1.041919354,1.075243538,1.218729429,0.590769135,0.938371165,0.7238557,0.027570393,-0.225248596,-1.322732169,0.411053905,0.561800714,0.943553601,-0.086743742,-0.038066504,0.55759626,-0.168774495,-0.390303314,-1.180737747,-0.562033832,-0.684510177,-1.251412406,-1.712244678,0.645125405,-3.959100118,-0.550581509,-0.047038424,-1.400447701,-1.224727331,-1.441224864,-0.923062277,0.446335752,-0.757775907,0.346842847,-0.342845018,-0.716253754,-0.187113603,0.739957961,0.221940522,0.48394585,1.151359014,1.103193691,0.741850844,0.929559562,0.967539077,1.21411569,0.146040243
CTNNB1,0.219609463,0.398205551,0.657318507,0.316135203,0.136403839,0.464628283,0.575007155,0.576857599,0.765631443,0.733473614,0.340625143,0.258051707,0.281065992,0.455116667,0.457331603,0.357677249,0.202133841,0.411407878,0.718586371,0.707446357,0.142111144,-0.741088557,-1.290292966,-0.10242043,-0.22110401,-0.818853832,0.203607908,-3.930556237,-1.15901097,0.217941063,-0.292838973,-0.645685366,-0.674641883,1.006871418,-3.930556237,-0.001061102,-2.005868667,-0.017676305,-0.006562785,0.399585123,0.226219174,0.448930979,0.692575576,0.281946633,0.226846735,0.330809657,0.743520007,0.452118638,0.703261309,0.72915949
EPAS1,0.090369205,0.299750829,0.131289547,1.350331701,0.70309775,0.093986403,0.609853492,0.670613954,0.612414388,0.574677222,0.365974389,0.597971831,0.556211669,0.659405421,0.176420322,0.330679223,0.315208724,0.532579156,0.556708646,0.627273055,0.054297986,-0.016021616,-0.251676938,0.404511776,0.076937398,-1.161115376,-0.052436371,-3.089607198,-0.723006014,0.026649429,-1.501309059,0.209700552,-1.030732906,-3.089607198,-3.089607198,-0.704623089,-1.838885778,0.077581212,-0.090203011,0.1418238,0.101121858,0.379646833,0.546270751,1.468664442,0.557220347,0.305329327,0.568637397,0.494283729,0.569115823,0.802222168
EZH2,0.456743552,0.911672819,1.599168795,0.409965231,0.521327058,0.860195889,0.173378197,0.154944758,0.620841501,0.801050094,0.288021913,-0.672024645,-1.297304996,0.737574559,0.957665074,0.342225632,-0.780423047,0.42640063,0.561930785,0.858927714,0.401518061,0.385136419,-2.375380207,0.145319015,0.361141186,-0.33608696,0.068501099,-2.375380207,-0.636979796,0.852875587,-1.275781926,-0.425863878,-1.060047164,-2.375380207,-2.375380207,-0.406789291,-2.375380207,0.014903424,0.076555719,0.616785728,0.251314453,0.964664443,1.033509808,0.081683274,0.436271548,-0.010352422,0.424402281,0.315118102,0.545805067,1.121015746
KDM5B,1.196518321,0.429714462,0.64510837,0.796595387,0.635662912,0.891062323,0.245976382,0.411830122,0.677556627,0.809612846,0.805046249,0.111389275,0.491546985,0.608926194,0.511088857,0.312389047,0.249155898,0.40065053,0.469401774,0.702773331,0.766734487,-1.469484615,-1.785861061,-0.392302517,-0.589163331,-1.548910086,-0.114993556,-2.50671684,-0.914854635,0.51581662,0.0369022,-0.319691834,-1.196908853,-2.50671684,-2.50671684,-0.356802448,-2.50671684,-0.334904969,-0.070148489,0.693281021,1.050042175,0.595264974,0.41904213,0.571510848,0.430621538,0.484263934,0.207299963,0.351608187,0.635561203,0.960938582
KLF4,-1.375546166,-0.512746203,-0.636492825,-0.278992501,-0.781306454,-0.685139878,0.237270446,-0.05552503,-0.524972986,-0.465561775,-0.686339322,0.349104059,-0.628891884,-0.259715206,-0.757847695,-0.988159417,0.116099814,0.294958132,-0.716969243,-0.295032313,1.184917764,0.052615998,0.599444158,1.021033837,0.058854936,0.544286396,1.781152045,-2.41786233,0.617048177,1.289929626,0.923943196,0.883337804,1.16899382,0.87943971,-2.41786233,1.87330324,0.889264334,1.893376585,1.571622519,1.642577363,-1.276564268,-0.608534601,-0.587765915,-0.384186626,-0.934003097,-0.672849307,0.078087887,0.186467998,-0.514489061,-0.673773412
MYC,0.835769772,-0.13460673,0.931131126,0.742285703,0.858535029,0.59777455,0.652539038,0.104863779,0.589772296,0.172036135,0.582576697,-0.67465655,-0.869027357,0.280725367,-0.113587948,0.346236017,-0.338826535,0.164788576,0.068146854,0.183440174,1.064136146,-1.508462078,-2.573901151,0.363851846,0.093383586,0.486221363,0.606761769,-2.573901151,-0.267110336,0.363889613,-0.084105969,-0.786119397,0.07539388,-2.573901151,-2.573901151,0.35130487,-2.573901151,0.762792355,0.608573469,0.473250525,1.051790703,0.075582266,0.640269008,0.480712356,0.349185551,0.168047084,0.830431533,0.507452676,0.754546105,0.427810838
NANOG,0.326530436,0.34761246,-0.320162972,-0.004819756,-0.056584645,-0.320162972,-0.037407547,0.024293444,-0.007184129,-0.320162972,0.411290793,-0.320162972,-0.320162972,-0.320162972,-0.015654312,-0.320162972,0.019227259,0.045977977,-0.001576321,-0.320162972,-0.320162972,-0.320162972,-0.320162972,-0.320162972,0.133963827,6.684297407,-0.057577335,-0.320162972,-0.320162972,-0.320162972,-0.320162972,-0.320162972,-0.320162972,-0.320162972,-0.320162972,0.093269561,-0.320162972,-0.320162972,-0.320162972,-0.320162972,-0.320162972,0.282739029,-0.320162972,0.238287407,-0.320162972,0.013942602,-0.036099744,-0.320162972,-0.320162972,0.880197772
