,Sample_27_1,Sample_28_1,Sample_29_1,Sample_30_1,Sample_31_1,Sample_33_2,Sample_34_3,Sample_37_2,Sample_38_1,Sample_40_2,Sample_27_5,Sample_28_5,Sample_29_5,Sample_30_5,Sample_31_5,Sample_33_5,Sample_34_6,Sample_37_5,Sample_38_5,Sample_40_5,Sample_27_neg,Sample_28_neg,Sample_29_neg,Sample_30_neg,Sample_31_neg,Sample_33_neg,Sample_34_neg,Sample_37_neg,Sample_38_neg,Sample_40_neg,Sample_27_pos,Sample_28_pos,Sample_29_pos,Sample_30_pos,Sample_31_pos,Sample_33_pos,Sample_34_pos,Sample_37_pos,Sample_38_pos,Sample_40_pos,Sample_27_2,Sample_28_2,Sample_29_3,Sample_30_2,Sample_31_2,Sample_33_3,Sample_34_5,Sample_37_3,Sample_38_2,Sample_40_3
ADGRG1,0.535506279,0.416602556,0.043832822,0.469297083,0.582582674,0.354897272,-0.603393359,0.586330513,0.603990517,0.46663691,0.483632065,0.606839937,-0.098724485,0.742089728,0.990219038,0.348131683,-0.04688983,0.362847083,0.732388332,0.563746333,0.398448669,-0.80368068,-0.713425087,-0.447204042,0.412257413,-0.599439434,-0.185163346,-4.271886703,-0.326801077,0.057249639,-0.937058343,-0.751200134,-0.236853029,-0.17017339,-4.271886703,0.07973078,-0.620819675,0.076162319,0.68659307,0.278040378,0.62310912,0.485441559,0.415374143,0.190039214,0.366745503,0.383372355,0.001539093,0.486584566,0.547123324,0.707217346
ALDH1A1,-0.596175635,1.127097046,0.04158248,0.005006165,-0.762318485,-0.28217165,-0.432603457,1.289632989,0.672503694,0.341698338,0.879666132,0.992205826,1.246271125,-0.364703952,-0.289304244,1.466419702,1.146312724,1.098112008,1.236413543,0.826761477,-0.401979356,-0.046781213,-2.460735292,-0.058927682,-0.588212712,-1.084201884,-0.557304087,-2.460735292,-0.744546448,0.240164087,0.658564381,-0.144173116,-1.330572635,0.682465027,-2.460735292,0.61403572,-2.460735292,-0.568473539,-0.482285094,0.892269349,-0.242587334,0.561372904,0.654382272,0.055604799,0.111666172,1.083990606,0.127751286,0.732562515,0.222136863,-0.186385542
ASCL1,1.368399277,0.679912092,0.578459904,0.278468643,0.510684191,0.364548416,-2.01984309,0.352481774,0.830388555,-0.156030665,0.896721734,0.065348591,0.083055676,0.600684256,0.946622647,0.236691494,-0.478753065,0.581456893,0.898528561,0.062870426,0.873855163,-0.018647711,-2.317000548,0.119641095,0.627863089,0.139124409,-0.577443715,-2.317000548,0.360228148,0.517201087,-2.317000548,-0.289596442,-0.412823161,-2.317000548,-2.317000548,-1.179881073,1.56680884,-0.337840859,0.58822738,0.273780928,1.349210547,0.405999491,0.50797868,-0.308759009,0.012491353,0.263551133,-0.971183083,0.331165361,0.473410544,0.589944237
CADM1,-0.1865279,0.320573782,0.300887906,0.674546279,0.010825919,0.856559124,0.965941101,0.68004682,0.586477038,0.09322184,0.326878068,0.573790002,0.692223512,0.72332638,0.235847925,0.637449157,0.352728869,0.497246102,0.45098935,0.221214364,0.23251473,-0.984409121,-0.297451802,-0.018358708,-0.344718047,-0.264918047,0.248079192,-3.247822412,-0.886800784,0.10004118,-1.421706385,-0.585664071,-0.663901134,-3.247822412,-3.247822412,-0.102389873,1.931598587,-0.437441492,0.089006491,0.583565362,-0.169342456,0.493921086,0.188934452,0.569342254,0.102791703,0.65108765,1.024781819,0.295749182,0.459709522,-0.064799693
CCND2,0.580540003,0.869780845,0.716280684,1.019002618,0.937026722,0.472741835,-0.159554443,0.609433237,0.224909165,0.827945386,-0.317562988,0.275009388,0.230110429,0.921990705,1.269555092,0.317098212,-0.570375545,0.776342705,0.384839921,0.838288361,0.128886072,0.203278044,-3.420088764,-0.305909578,0.283507355,-0.927825456,-0.543109647,-3.420088764,-0.795074637,0.240698691,-1.94149501,0.120582169,-1.425116743,-0.912403329,-1.265430875,-1.197141177,-0.563258714,-0.300178018,0.066418796,0.09737476,0.565095727,0.929850762,0.390763392,0.792432112,0.60400791,0.451941941,0.019115579,0.639567858,0.285245803,0.974951407
CD81,0.219834091,0.372911264,-0.537345102,-0.308201689,0.02596196,-0.418830721,-0.403343938,0.399045968,1.07166554,-0.468187216,0.666166949,-0.18078877,-0.952573596,-0.116483041,0.503327163,0.555809005,0.594099394,0.234645884,1.446422993,-0.240769218,0.174396323,-0.839517626,-0.603497865,-0.062013354,1.14712544,-1.008928484,0.110146159,-2.1596251,0.297078622,-0.726411421,0.279191901,-0.899444611,0.469233524,0.09039681,-5.191783272,0.927210574,0.86680788,0.347040386,1.118105049,0.521738659,0.51266918,0.202951747,0.127210102,0.06242831,0.297313403,0.270309647,0.085809706,0.815245649,0.780519433,-0.475073688
CDH5,0.005407236,0.446532496,0.182431409,1.189542624,-0.101928722,-0.389074985,-0.029620873,0.785727052,0.429415541,0.684447651,0.148872808,0.696184575,0.530493026,1.049142738,0.154833187,0.074584311,0.362375459,0.283082519,0.562499982,0.981182644,-0.222195752,-0.772216248,0.170847935,0.727295332,0.08649704,-2.360404093,-0.108370495,-2.360404093,-0.187015274,-0.191556605,-2.360404093,0.186729699,-1.270195081,2.390932849,-2.360404093,-1.202755876,-2.360404093,-0.43653803,-0.058989154,-0.096138626,-0.163920781,0.630773568,1.136889383,0.515051513,0.087596291,-0.085144478,0.713504115,0.672842744,0.056879022,1.175086698
CHD7,1.225473621,0.720665566,0.847193475,-0.007349314,0.051317512,0.855990058,-0.604475366,0.257052274,0.610786485,0.37927132,1.29415651,-0.479043425,-0.473076158,0.176687714,0.524038504,0.770009625,0.575289187,0.291187886,0.462180519,0.622732579,1.366675752,-0.099726803,-0.07916779,-1.060413361,-0.675279835,-0.347377747,0.209451937,-2.803483673,-0.962323846,0.047357507,-0.011884647,-0.273289581,-0.160655007,-2.803483673,-2.803483673,0.007148191,-2.803483673,0.345231048,0.53733228,0.502858472,1.218195326,0.500225247,0.645039041,-0.210145677,-0.177885676,0.452238118,-0.417389883,0.413497171,0.451562896,0.892572984
CXCR4,-1.215281211,-0.678840718,-0.811926559,0.079187572,-0.204892621,-0.557583588,0.572299106,-0.499365016,-0.197710566,-0.287450875,-1.071506847,-0.917242938,-1.226979901,-0.033701011,-0.542952866,-0.810897331,0.291090352,-0.383859253,-0.359099792,-0.214804553,0.750126454,1.155772713,1.033078264,1.279488719,0.981488251,-0.214724654,0.946263541,-2.991128324,1.393347503,1.653225376,0.792829612,0.852673779,0.311159533,0.279637014,-2.991128324,0.720921125,1.230015663,1.150154371,1.212936713,1.405039928,-1.056763618,-0.597160946,-0.474641474,0.442677643,-0.007142941,-0.586792402,0.863804719,-0.079696519,-0.099741955,-0.284201149
DCX,0.778928463,1.153220095,0.771988942,-0.59368237,-0.542998177,1.382131721,-1.493492787,0.278291984,1.063884,0.624896064,0.503077015,-0.136844295,-0.036894927,-0.295774367,0.782029961,0.413060441,-0.503581606,0.292889104,0.757215397,0.820550044,0.94308076,-0.886129195,-1.775598059,-0.439063923,-0.468687643,-0.194346322,-0.683084423,2.775652823,-0.641397898,0.551249898,-1.367703782,-0.371094472,-1.760014799,-1.775598059,-1.775598059,-0.919773409,-1.775598059,-0.494332938,0.396188033,0.625731368,0.811558617,1.237569044,0.703268019,-0.877626857,-0.230723904,0.542630217,-0.700699978,0.253959329,1.010984038,1.266304933
HMGB2,0.050791242,0.547941693,1.152421841,0.274690992,0.380341319,0.294047631,0.394049723,0.048597557,0.241875425,0.44441881,-0.067973185,-0.290003323,-0.441241016,0.363818182,0.356785751,0.128854357,-0.231950492,0.159476876,0.221701388,0.435981113,-0.184218927,0.300642403,0.051609358,0.7823905,0.555445623,0.081854588,0.412406797,-3.621372153,0.073279181,1.25285599,-0.611333878,0.579291688,-0.6014347,-3.621372153,-3.621372153,-0.312879676,0.230926422,0.158912201,0.141522968,0.845579796,-0.263558334,0.495537729,0.74235696,0.090544457,0.307708961,-0.175434353,0.43301278,0.140993155,0.264195692,0.607283195
HMOX1,-1.695333694,-0.032965929,-0.584715174,0.065176394,0.593560503,-0.280977491,0.947444494,1.143334616,0.072292364,1.009730859,-1.683855816,-1.176686578,-2.24376012,-1.587103002,-1.678317572,-0.442287775,-0.964140582,0.597584282,-0.001158758,-0.632154185,-1.32104878,-0.56732467,-0.334494154,1.359020241,-0.054887561,-0.548976079,0.686069575,1.096004423,0.220653674,0.507685896,-0.844784659,0.101875612,1.14341518,0.853666733,-0.742496739,1.080827158,-0.922502562,1.191747358,0.842557326,1.183055426,-1.449042787,0.864511389,0.443677456,0.700568591,1.639582344,-1.079871839,1.112819387,1.27177462,0.403257059,-0.26300645
HOXD9,0.521591179,-0.329398395,1.676525016,1.651376215,0.790237185,-0.676681252,-0.361843519,0.963460561,1.282978733,1.315494243,-0.529169325,-1.055524724,-1.05217696,1.327737323,0.471517687,-0.948572277,-1.057827129,1.057173538,1.244066208,1.240707094,-0.81715745,-1.096769108,-1.096769108,-0.06442603,-0.151408919,-1.096769108,-0.911762893,-1.096769108,-1.025090528,0.609018714,-1.096769108,-1.096769108,-1.096769108,-1.096769108,-1.096769108,-1.096769108,-1.096769108,-0.200544897,0.318825427,0.461753773,0.177359298,-0.421570179,1.057108216,1.408022636,1.208134377,-0.746250765,-0.219076116,1.257322303,1.339000748,1.253531076
